alpha,H,He,Ca,Al,Si,O,Ca_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.0,0.0,0.0,1.85546875e-05,0.0012978515625,0.0015498046875,0.0,0.0014140625,0.0019208984375,0.00154296875,0.00566015625,0.0003173828125,0.0004248046875,0.3160607585153473,1.7098999899745517,0.03616399878967435,1.2601969229755225,2.040923784410551,8.283185307179584,0.0,1.0,1.0,0.11002238951660054,2.9666645470714474,1.8086289128389288,0.019754908751380203,1.3983814040015343,1.3231346886759425,8.283185307179584,0.0,1.0,1.0,0.09130418107833513,3.1771298127328427,1.6579784060057514,-0.008189974502434902,1.6683094300812533,1.854775005160737,8.283185307179584,0.0038585545132252233,1.0,1.0,0.11261047375672112,3.1567932111237686,1.7964823481529715,0.021319961150605533,1.2153963283600138,1.588805278313004,8.283185307179584,0.003032495605097347,1.0,1.0,0.05551926392377006,5.023925456251704
1.0,0.0,0.0,1.62353515625e-05,0.0011356201171875,0.0016079101562499875,0.0,0.0013846435546875,0.001882568359375,0.0014016113281250001,0.005193115234375,0.0005861816406250001,0.0011081542968749874,0.31819160587657613,1.7024368170810025,0.0239551163848524,1.3049426149862842,2.013763141918882,8.283185307179584,0.007073803276923919,1.0,1.0,0.10588351542705242,3.0891082864213057,1.7933637564341858,0.008398847469899776,1.4454835665842432,1.3453275040386217,8.283185307179584,0.006269866424165477,1.0,1.0,0.0911574990882956,3.1810811555224525,1.661403904654435,-0.02225110188791216,1.7483415841922896,1.8346185153467411,8.283185307179584,0.012389388458122723,1.0,1.0,0.11289871192500217,3.1500872914163702,1.7779435937462464,0.0074927101224411,1.28708840333428,1.5900089458144993,8.283185307179584,0.0113783264203861,1.0,1.0,0.05697847377708823,4.939133924530624
2.0,0.0,0.0,1.3916015624999999e-05,0.000973388671875,0.0016660156249999748,0.0,0.001355224609375,0.00184423828125,0.0012602539062500002,0.00472607421875,0.0008549804687500001,0.0017915039062499749,0.32032245323780495,1.695209268067428,0.011746233980030447,1.349688306997046,1.9866024994272127,8.283185307179584,0.014147606553847837,1.0,1.0,0.1017446413375043,3.2115520257711645,1.7817536043759414,-0.002957213811580652,1.492585729166952,1.3675203194013006,8.283185307179584,0.012539732848330954,1.0,1.0,0.09101081709825606,3.1850324983120624,1.6653221450387954,-0.03631222927338942,1.8283737383033256,1.814462025532745,8.283185307179584,0.020920222403020224,1.0,1.0,0.11318695009328322,3.143381371708972,1.767597800290038,-0.006334540905723333,1.3587804783085462,1.5912126133159945,8.283185307179584,0.019724157235674854,1.0,1.0,0.058437683630406405,4.854342392809543
3.0,0.0,0.0,1.15966796875e-05,0.0008111572265625,0.0017241210937499623,0.0,0.0013258056640625,0.001805908203125,0.001118896484375,0.004259033203125,0.0011237792968750002,0.0024748535156249624,0.32245330059903377,1.688884295735249,-0.0004626484247915036,1.3944339990078078,1.9594418569355434,8.283185307179584,0.021221409830771757,1.0,1.0,0.09760576724795618,3.3339957651210232,1.7797405795732808,-0.01431327509306108,1.5396878917496608,1.3897131347639795,8.283185307179584,0.01880959927249643,1.0,1.0,0.09086413510821653,3.188983841101672,1.669701441080155,-0.05037335665886668,1.9084058924143619,1.794305535718749,8.283185307179584,0.029451056347917722,1.0,1.0,0.11347518826156427,3.1366754520015734,1.7664623163242308,-0.020161791933887764,1.4304725532828124,1.5924162808174898,8.283185307179584,0.02806998805096361,1.0,1.0,0.05989689348372458,4.7695508610884625
4.0,0.0,0.0,1.0437011718749999e-05,0.0007300415039062499,0.001753173828124956,0.0,0.00131109619140625,0.0017867431640625,0.0010482177734375,0.0040255126953125005,0.0012581787109375003,0.002816528320312456,0.3235187242796482,1.6925744537999985,-0.006567089627202479,1.4168068450131888,1.9458615356897089,8.283185307179584,0.024758311469233716,1.0,1.0,0.09553633020318211,3.3952176347959524,1.778772033125097,-0.01999130573380129,1.5632389730410152,1.400809542445319,8.283185307179584,0.02194453248457917,1.0,1.0,0.09079079411319677,3.190959512496477,1.672055927254426,-0.057403920351605305,1.94842196946988,1.784227290811751,8.283185307179584,0.03371647332036647,1.0,1.0,0.1136193073457048,3.133322492147874,1.7660400268035625,-0.02707541744796998,1.4663185907699456,1.5930181145682374,8.283185307179584,0.03224290345860799,1.0,1.0,0.060626498410383665,4.727155095227922
5.0,0.0,0.0,9.27734375e-06,0.00064892578125,0.0017822265624999499,0.0,0.0012963867187500001,0.001767578125,0.0009775390625000001,0.0037919921875,0.0013925781250000002,0.0031582031249999497,0.3245841479602626,1.6963107736271108,-0.012671530829613455,1.4391796910185697,1.9322812144438744,8.283185307179584,0.028295213107695675,1.0,1.0,0.09346689315840806,3.4564395044708816,1.7778261374872413,-0.025669336374541506,1.5867900543323696,1.4119059501266586,8.283185307179584,0.025079465696661907,1.0,1.0,0.090717453118177,3.192935183891282,1.6745164111773048,-0.06443448404434393,1.9884380465253981,1.7741490459047529,8.283185307179584,0.03798189029281522,1.0,1.0,0.11376342642984531,3.1299695322941745,1.76571219871045,-0.0339890429620522,1.5021646282570786,1.593619948318985,8.283185307179584,0.036415818866252364,1.0,1.0,0.06135610333704275,4.684759329367382
6.0,0.0,0.0,6.958007812499999e-06,0.0004866943359375,0.0018403320312499374,0.0,0.0012669677734375002,0.001729248046875,0.0008361816406250001,0.003324951171875,0.0016613769531250001,0.0038415527343749374,0.3267149953214914,1.7039087794232508,-0.024880413234435406,1.4839253830293315,1.9051205719522053,8.283185307179584,0.035369016384619596,1.0,1.0,0.08932801906885994,3.5788832438207403,1.7759984500130566,-0.03702539765602193,1.6338922169150785,1.4340987654893376,8.283185307179584,0.03134933212082738,1.0,1.0,0.09057077112813747,3.196886526680892,1.6797444678856692,-0.07849561142982119,2.068470200636434,1.7539925560907568,8.283185307179584,0.046512724237712716,1.0,1.0,0.11405166459812635,3.1232636125867757,1.76533245536534,-0.04781629399021663,1.5738567032313449,1.5948236158204803,8.283185307179584,0.044761649681541116,1.0,1.0,0.06281531319036092,4.599967797646301
7.0,0.0,0.0,4.638671875e-06,0.000324462890625,0.001898437499999925,0.0,0.0012375488281250002,0.00169091796875,0.00069482421875,0.00285791015625,0.0019301757812500001,0.004524902343749925,0.3288458426827202,1.7116709811380777,-0.03708929563925736,1.5286710750400931,1.8779599294605362,8.283185307179584,0.042442819661543514,1.0,1.0,0.08518914497931182,3.701326983170599,1.7742521072584503,-0.04838145893750236,1.6809943794977873,1.4562915808520165,8.283185307179584,0.03761919854499286,1.0,1.0,0.09042408913809794,3.2008378694705018,1.6853648221605875,-0.09255673881529844,2.14850235474747,1.733836066276761,8.283185307179584,0.05504355818261022,1.0,1.0,0.1143399027664074,3.1165576928793772,1.7653062314009507,-0.06164354501838106,1.645548778205611,1.5960272833219755,8.283185307179584,0.053107480496829874,1.0,1.0,0.06427452304367909,4.515176265925221
8.0,0.0,0.0,2.3193359375e-06,0.0001622314453125,0.0019565429687499122,0.0,0.0012081298828125002,0.001652587890625,0.000553466796875,0.002390869140625,0.0021989746093750004,0.005208251953124913,0.33097669004394903,1.719600256688163,-0.04929817804407931,1.5734167670508548,1.8507992869688672,8.283185307179584,0.04951662293846743,1.0,1.0,0.08105027088976369,3.8237707225204574,1.7725833627055323,-0.05973752021898279,1.7280965420804961,1.4784843962146956,8.283185307179584,0.04388906496915834,1.0,1.0,0.0902774071480584,3.2047892122601116,1.691358143257272,-0.10661786620077571,2.2285345088585062,1.713679576462765,8.283185307179584,0.06357439212750772,1.0,1.0,0.11462814093468845,3.109851773171979,1.765614141390031,-0.0754707960465455,1.7172408531798773,1.5972309508234708,8.283185307179584,0.06145331131211863,1.0,1.0,0.06573373289699727,4.43038473420414
9.0,0.0,0.0,1.15966796875e-06,8.111572265625e-05,0.001985595703124906,0.0,0.0011934204101562503,0.0016334228515625,0.0004827880859375,0.0021573486328125,0.0023333740234375002,0.005549926757812407,0.3320421137245635,1.7236289411798773,-0.05540261924649029,1.5957896130562357,1.8372189657230327,8.283185307179584,0.05305352457692939,1.0,1.0,0.07898083384498963,3.8849925921953865,1.7717770316467418,-0.065415550859723,1.7516476233718505,1.4895808038960352,8.283185307179584,0.047023998181241075,1.0,1.0,0.09020406615303864,3.206764883654916,1.6944889874207762,-0.11364842989351434,2.2685505859140243,1.703601331555767,8.283185307179584,0.06783980909995646,1.0,1.0,0.11477226001882898,3.1064988133182796,1.7658869263041717,-0.08238442156062771,1.7530868906670105,1.5978327845742184,8.283185307179584,0.06562622671976301,1.0,1.0,0.06646333782365635,4.3879889683436
