alpha,H,He,Cr,S,Cr_1,S_1,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.0033505859375,9.765625e-07,0.0045595703125,0.010435546875,0.7464646166796876,1.778612502719867,0.0045812208347287085,1.361412991289895,1.4986937322295864,8.283185307179584,0.0,1.0,1.0,0.050387678634119235,4.574533714640801,1.7072698829161674,-0.028429750653382747,1.7960732207176227,1.57531875762446,8.283185307179584,0.002268080925018043,1.0,1.0,0.12881147982361058,2.5323248514221017
1.0,0.0,0.0,0.003350830078125,8.544921875e-07,0.0045837402343749875,0.0104910888671875,0.7494943629720279,1.7740166486247442,-0.0010330729453458926,1.37615255523616,1.5099102187679727,8.283185307179584,0.005335321735377556,1.0,1.0,0.05064756152552906,4.558829116207042,1.70128619570171,-0.02849036132673028,1.7792103230969256,1.620811014251323,8.283185307179584,0.006314324018871056,1.0,1.0,0.12847552496092585,2.5377750188229076
2.0,0.0,0.0,0.0033510742187499998,7.32421875e-07,0.0046079101562499745,0.010546630859375,0.7525241092643681,1.7746891485751677,-0.006647366725420494,1.3908921191824248,1.5211267053063593,8.283185307179584,0.010670643470755112,1.0,1.0,0.05090744441693888,4.543124517773283,1.6955980898436271,-0.028550972000077817,1.7623474254762286,1.6663032708781857,8.283185307179584,0.010360567112724069,1.0,1.0,0.12813957009824112,2.543225186223713
3.0,0.0,0.0,0.003351318359375,6.103515625e-07,0.0046320800781249625,0.0106021728515625,0.7555538555567083,1.7753470478230855,-0.012261660505495094,1.4056316831286897,1.5323431918447457,8.283185307179584,0.01600596520613267,1.0,1.0,0.051167327308348706,4.527419919339523,1.6901935327853854,-0.028611582673425354,1.7454845278555315,1.7117955275050487,8.283185307179584,0.014406810206577081,1.0,1.0,0.1278036152355564,2.5486753536245184
4.0,0.0,0.0,0.0033514404296875,5.493164062500001e-07,0.004644165039062457,0.01062994384765625,0.7570687287028784,1.775669127347635,-0.015068807395532395,1.4130014651018221,1.5379514351139387,8.283185307179584,0.018673626073821448,1.0,1.0,0.05129726875405362,4.519567620122643,1.6875940494759942,-0.02864188801009912,1.737053079045183,1.73454165581848,8.283185307179584,0.016429931753503588,1.0,1.0,0.12763563780421405,2.5514004373249213
5.0,0.0,0.0,0.0033515625,4.8828125e-07,0.00465624999999995,0.010657714843749999,0.7585836018490486,1.775986257579358,-0.017875954285569696,1.4203712470749545,1.543559678383132,8.283185307179584,0.021341286941510225,1.0,1.0,0.05142721019975853,4.511715320905763,1.6850613067966886,-0.028672193346772887,1.7286216302348345,1.7572877841319117,8.283185307179584,0.018453053300430095,1.0,1.0,0.1274676603728717,2.554125521025324
6.0,0.0,0.0,0.003351806640625,3.662109375e-07,0.004680419921874937,0.010713256835937499,0.7616133481413889,1.7766050629660755,-0.023490248065644294,1.4351108110212194,1.5547761649215184,8.283185307179584,0.026676608676887783,1.0,1.0,0.051687093091168354,4.496010722472003,1.6801909450786006,-0.02873280402012042,1.7117587326141375,1.8027800407587746,8.283185307179584,0.022499296394283108,1.0,1.0,0.127131705510187,2.55957568842613
7.0,0.0,0.0,0.00335205078125,2.44140625e-07,0.004704589843749925,0.010768798828124999,0.7646430944337291,1.7772027135839132,-0.029104541845718895,1.4498503749674843,1.5659926514599047,8.283185307179584,0.03201193041226534,1.0,1.0,0.05194697598257818,4.480306124038243,1.6755726739709471,-0.028793414693467953,1.6948958349934404,1.8482722973856376,8.283185307179584,0.026545539488136122,1.0,1.0,0.12679575064750226,2.5650258558269354
8.0,0.0,0.0,0.003352294921875,1.220703125e-07,0.004728759765624913,0.0108243408203125,0.7676728407260693,1.777778947915476,-0.0347188356257935,1.4645899389137491,1.577209137998291,8.283185307179584,0.037347252147642895,1.0,1.0,0.052206858873988,4.4646015256044835,1.6711973605184243,-0.028854025366815486,1.6780329373727434,1.8937645540125005,8.283185307179584,0.030591782581989135,1.0,1.0,0.12645979578481753,2.570476023227741
9.0,0.0,0.0,0.0033524169921875,6.103515625e-08,0.004740844726562407,0.01085211181640625,0.7691877138722395,1.7780590294380691,-0.037525982515830794,1.4719597208868818,1.5828173812674842,8.283185307179584,0.04001491301533167,1.0,1.0,0.052336800319692914,4.456749226387604,1.6690981222867014,-0.028884330703489253,1.6696014885623949,1.916510682325932,8.283185307179584,0.03261490412891564,1.0,1.0,0.12629181835347517,2.5732011069281437
