alpha,H,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O
0.000E+00,0.000E+00,0.000E+00,2.578E-03,3.015E-03,0.000E+00,0.000E+00,0.000E+00,2.248E-03,1.005E-02,5.781E-01,1.804E+00,-1.284E-02,1.500E+00,1.315E+00,4.935E+00,2.129E-03,1.000E+00,1.000E+00,4.619E-02,4.854E+00,1.644E+00,2.917E-03,1.491E+00,2.117E+00,4.935E+00,1.209E-02,1.000E+00,1.000E+00,6.343E-02,3.817E+00,1.577E+00,1.367E-02,1.736E+00,2.266E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.270E-01,2.850E+00
1.000E+00,0.000E+00,0.000E+00,2.573E-03,3.012E-03,0.000E+00,0.000E+00,1.221E-07,2.280E-03,1.012E-02,5.806E-01,1.794E+00,-1.555E-02,1.498E+00,1.371E+00,4.935E+00,7.660E-03,1.000E+00,1.000E+00,4.625E-02,4.850E+00,1.653E+00,-8.600E-03,1.540E+00,2.051E+00,4.935E+00,1.636E-02,1.000E+00,1.000E+00,6.315E-02,3.829E+00,1.576E+00,7.755E-03,1.761E+00,2.243E+00,4.935E+00,4.357E-03,1.000E+00,1.000E+00,1.273E-01,2.845E+00
2.000E+00,0.000E+00,0.000E+00,2.569E-03,3.009E-03,0.000E+00,0.000E+00,2.441E-07,2.313E-03,1.020E-02,5.831E-01,1.785E+00,-1.825E-02,1.497E+00,1.426E+00,4.935E+00,1.319E-02,1.000E+00,1.000E+00,4.632E-02,4.845E+00,1.665E+00,-2.012E-02,1.590E+00,1.985E+00,4.935E+00,2.064E-02,1.000E+00,1.000E+00,6.288E-02,3.841E+00,1.574E+00,1.844E-03,1.785E+00,2.220E+00,4.935E+00,8.715E-03,1.000E+00,1.000E+00,1.276E-01,2.839E+00
3.000E+00,0.000E+00,0.000E+00,2.564E-03,3.006E-03,0.000E+00,0.000E+00,3.662E-07,2.345E-03,1.027E-02,5.856E-01,1.776E+00,-2.096E-02,1.495E+00,1.482E+00,4.935E+00,1.872E-02,1.000E+00,1.000E+00,4.638E-02,4.841E+00,1.677E+00,-3.163E-02,1.639E+00,1.918E+00,4.935E+00,2.492E-02,1.000E+00,1.000E+00,6.260E-02,3.853E+00,1.577E+00,-4.067E-03,1.810E+00,2.197E+00,4.935E+00,1.307E-02,1.000E+00,1.000E+00,1.279E-01,2.834E+00
4.000E+00,0.000E+00,0.000E+00,2.562E-03,3.005E-03,0.000E+00,0.000E+00,4.272E-07,2.361E-03,1.031E-02,5.868E-01,1.772E+00,-2.231E-02,1.494E+00,1.510E+00,4.935E+00,2.149E-02,1.000E+00,1.000E+00,4.642E-02,4.838E+00,1.684E+00,-3.739E-02,1.664E+00,1.885E+00,4.935E+00,2.706E-02,1.000E+00,1.000E+00,6.246E-02,3.859E+00,1.580E+00,-7.022E-03,1.822E+00,2.186E+00,4.935E+00,1.525E-02,1.000E+00,1.000E+00,1.280E-01,2.832E+00
5.000E+00,0.000E+00,0.000E+00,2.560E-03,3.003E-03,0.000E+00,0.000E+00,4.883E-07,2.377E-03,1.035E-02,5.881E-01,1.768E+00,-2.366E-02,1.493E+00,1.538E+00,4.935E+00,2.425E-02,1.000E+00,1.000E+00,4.645E-02,4.836E+00,1.691E+00,-4.315E-02,1.689E+00,1.852E+00,4.935E+00,2.920E-02,1.000E+00,1.000E+00,6.232E-02,3.865E+00,1.582E+00,-9.978E-03,1.834E+00,2.175E+00,4.935E+00,1.743E-02,1.000E+00,1.000E+00,1.281E-01,2.829E+00
6.000E+00,0.000E+00,0.000E+00,2.555E-03,3.001E-03,0.000E+00,0.000E+00,6.104E-07,2.410E-03,1.042E-02,5.905E-01,1.760E+00,-2.637E-02,1.491E+00,1.594E+00,4.935E+00,2.979E-02,1.000E+00,1.000E+00,4.651E-02,4.831E+00,1.705E+00,-5.467E-02,1.738E+00,1.786E+00,4.935E+00,3.348E-02,1.000E+00,1.000E+00,6.205E-02,3.877E+00,1.587E+00,-1.589E-02,1.858E+00,2.152E+00,4.935E+00,2.179E-02,1.000E+00,1.000E+00,1.284E-01,2.824E+00
7.000E+00,0.000E+00,0.000E+00,2.550E-03,2.998E-03,0.000E+00,0.000E+00,7.324E-07,2.442E-03,1.049E-02,5.930E-01,1.752E+00,-2.907E-02,1.490E+00,1.650E+00,4.935E+00,3.532E-02,1.000E+00,1.000E+00,4.658E-02,4.827E+00,1.720E+00,-6.618E-02,1.788E+00,1.720E+00,4.935E+00,3.776E-02,1.000E+00,1.000E+00,6.177E-02,3.889E+00,1.592E+00,-2.180E-02,1.883E+00,2.129E+00,4.935E+00,2.614E-02,1.000E+00,1.000E+00,1.287E-01,2.818E+00
8.000E+00,0.000E+00,0.000E+00,2.546E-03,2.995E-03,0.000E+00,0.000E+00,8.545E-07,2.474E-03,1.057E-02,5.955E-01,1.745E+00,-3.178E-02,1.488E+00,1.705E+00,4.935E+00,4.085E-02,1.000E+00,1.000E+00,4.665E-02,4.822E+00,1.735E+00,-7.770E-02,1.837E+00,1.654E+00,4.935E+00,4.204E-02,1.000E+00,1.000E+00,6.150E-02,3.901E+00,1.597E+00,-2.771E-02,1.907E+00,2.106E+00,4.935E+00,3.050E-02,1.000E+00,1.000E+00,1.290E-01,2.813E+00
9.000E+00,0.000E+00,0.000E+00,2.543E-03,2.994E-03,0.000E+00,0.000E+00,9.155E-07,2.491E-03,1.061E-02,5.968E-01,1.741E+00,-3.313E-02,1.487E+00,1.733E+00,4.935E+00,4.361E-02,1.000E+00,1.000E+00,4.668E-02,4.820E+00,1.743E+00,-8.346E-02,1.862E+00,1.621E+00,4.935E+00,4.418E-02,1.000E+00,1.000E+00,6.136E-02,3.907E+00,1.600E+00,-3.067E-02,1.919E+00,2.094E+00,4.935E+00,3.268E-02,1.000E+00,1.000E+00,1.291E-01,2.811E+00
