alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.000E+00,0.000E+00,0.000E+00,2.558E-03,0.000E+00,0.000E+00,1.953E-06,2.930E-06,5.521E-03,1.092E-02,7.799E-01,1.821E+00,-1.944E-02,1.478E+00,1.292E+00,4.935E+00,2.053E-03,1.000E+00,1.000E+00,4.821E-02,4.715E+00,1.781E+00,-1.616E-02,1.522E+00,1.410E+00,4.935E+00,8.129E-03,1.000E+00,1.000E+00,6.692E-02,3.676E+00,1.691E+00,-1.897E-02,1.721E+00,1.675E+00,4.935E+00,5.906E-04,1.000E+00,1.000E+00,1.253E-01,2.590E+00
1.000E+00,0.000E+00,0.000E+00,2.579E-03,0.000E+00,0.000E+00,1.709E-06,3.296E-06,5.558E-03,1.097E-02,7.848E-01,1.811E+00,-2.381E-02,1.499E+00,1.339E+00,4.935E+00,7.245E-03,1.000E+00,1.000E+00,4.840E-02,4.702E+00,1.786E+00,-2.353E-02,1.548E+00,1.401E+00,4.935E+00,1.099E-02,1.000E+00,1.000E+00,6.690E-02,3.676E+00,1.691E+00,-2.370E-02,1.739E+00,1.685E+00,4.935E+00,5.449E-03,1.000E+00,1.000E+00,1.251E-01,2.593E+00
2.000E+00,0.000E+00,0.000E+00,2.600E-03,0.000E+00,0.000E+00,1.465E-06,3.662E-06,5.595E-03,1.103E-02,7.896E-01,1.800E+00,-2.818E-02,1.520E+00,1.386E+00,4.935E+00,1.244E-02,1.000E+00,1.000E+00,4.860E-02,4.690E+00,1.791E+00,-3.089E-02,1.575E+00,1.391E+00,4.935E+00,1.385E-02,1.000E+00,1.000E+00,6.688E-02,3.677E+00,1.691E+00,-2.843E-02,1.758E+00,1.696E+00,4.935E+00,1.031E-02,1.000E+00,1.000E+00,1.249E-01,2.596E+00
3.000E+00,0.000E+00,0.000E+00,2.621E-03,0.000E+00,0.000E+00,1.221E-06,4.028E-06,5.633E-03,1.108E-02,7.945E-01,1.790E+00,-3.254E-02,1.541E+00,1.432E+00,4.935E+00,1.763E-02,1.000E+00,1.000E+00,4.879E-02,4.677E+00,1.796E+00,-3.826E-02,1.601E+00,1.382E+00,4.935E+00,1.670E-02,1.000E+00,1.000E+00,6.686E-02,3.678E+00,1.690E+00,-3.316E-02,1.776E+00,1.706E+00,4.935E+00,1.516E-02,1.000E+00,1.000E+00,1.247E-01,2.599E+00
4.000E+00,0.000E+00,0.000E+00,2.632E-03,0.000E+00,0.000E+00,1.099E-06,4.211E-06,5.652E-03,1.111E-02,7.969E-01,1.785E+00,-3.473E-02,1.552E+00,1.456E+00,4.935E+00,2.022E-02,1.000E+00,1.000E+00,4.889E-02,4.671E+00,1.798E+00,-4.195E-02,1.614E+00,1.377E+00,4.935E+00,1.813E-02,1.000E+00,1.000E+00,6.685E-02,3.678E+00,1.690E+00,-3.552E-02,1.785E+00,1.712E+00,4.935E+00,1.759E-02,1.000E+00,1.000E+00,1.246E-01,2.601E+00
5.000E+00,0.000E+00,0.000E+00,2.642E-03,0.000E+00,0.000E+00,9.766E-07,4.395E-06,5.670E-03,1.114E-02,7.993E-01,1.780E+00,-3.691E-02,1.562E+00,1.479E+00,4.935E+00,2.282E-02,1.000E+00,1.000E+00,4.899E-02,4.664E+00,1.801E+00,-4.563E-02,1.628E+00,1.372E+00,4.935E+00,1.956E-02,1.000E+00,1.000E+00,6.684E-02,3.679E+00,1.690E+00,-3.789E-02,1.795E+00,1.717E+00,4.935E+00,2.002E-02,1.000E+00,1.000E+00,1.245E-01,2.602E+00
6.000E+00,0.000E+00,0.000E+00,2.663E-03,0.000E+00,0.000E+00,7.324E-07,4.761E-06,5.708E-03,1.119E-02,8.041E-01,1.771E+00,-4.128E-02,1.583E+00,1.526E+00,4.935E+00,2.801E-02,1.000E+00,1.000E+00,4.919E-02,4.651E+00,1.806E+00,-5.300E-02,1.654E+00,1.363E+00,4.935E+00,2.242E-02,1.000E+00,1.000E+00,6.683E-02,3.680E+00,1.690E+00,-4.262E-02,1.813E+00,1.728E+00,4.935E+00,2.488E-02,1.000E+00,1.000E+00,1.243E-01,2.606E+00
7.000E+00,0.000E+00,0.000E+00,2.684E-03,0.000E+00,0.000E+00,4.883E-07,5.127E-06,5.745E-03,1.124E-02,8.090E-01,1.761E+00,-4.564E-02,1.604E+00,1.573E+00,4.935E+00,3.320E-02,1.000E+00,1.000E+00,4.938E-02,4.639E+00,1.811E+00,-6.037E-02,1.680E+00,1.353E+00,4.935E+00,2.528E-02,1.000E+00,1.000E+00,6.681E-02,3.680E+00,1.690E+00,-4.734E-02,1.832E+00,1.738E+00,4.935E+00,2.974E-02,1.000E+00,1.000E+00,1.242E-01,2.609E+00
8.000E+00,0.000E+00,0.000E+00,2.705E-03,0.000E+00,0.000E+00,2.441E-07,5.493E-06,5.783E-03,1.130E-02,8.138E-01,1.752E+00,-5.001E-02,1.625E+00,1.620E+00,4.935E+00,3.840E-02,1.000E+00,1.000E+00,4.958E-02,4.626E+00,1.816E+00,-6.774E-02,1.707E+00,1.343E+00,4.935E+00,2.814E-02,1.000E+00,1.000E+00,6.679E-02,3.681E+00,1.689E+00,-5.207E-02,1.850E+00,1.749E+00,4.935E+00,3.460E-02,1.000E+00,1.000E+00,1.240E-01,2.612E+00
9.000E+00,0.000E+00,0.000E+00,2.716E-03,0.000E+00,0.000E+00,1.221E-07,5.676E-06,5.802E-03,1.132E-02,8.163E-01,1.748E+00,-5.219E-02,1.636E+00,1.644E+00,4.935E+00,4.099E-02,1.000E+00,1.000E+00,4.968E-02,4.619E+00,1.819E+00,-7.143E-02,1.720E+00,1.339E+00,4.935E+00,2.957E-02,1.000E+00,1.000E+00,6.678E-02,3.681E+00,1.689E+00,-5.444E-02,1.859E+00,1.754E+00,4.935E+00,3.703E-02,1.000E+00,1.000E+00,1.239E-01,2.614E+00
1.000E+01,0.000E+00,0.000E+00,2.727E-03,0.000E+00,0.000E+00,0.000E+00,5.859E-06,5.820E-03,1.135E-02,8.187E-01,1.744E+00,-5.438E-02,1.646E+00,1.667E+00,4.935E+00,4.359E-02,1.000E+00,1.000E+00,4.978E-02,4.613E+00,1.821E+00,-7.511E-02,1.733E+00,1.334E+00,4.935E+00,3.100E-02,1.000E+00,1.000E+00,6.677E-02,3.682E+00,1.689E+00,-5.680E-02,1.869E+00,1.759E+00,4.935E+00,3.945E-02,1.000E+00,1.000E+00,1.238E-01,2.615E+00
1.100E+01,0.000E+00,0.000E+00,2.769E-03,0.000E+00,0.000E+00,1.221E-07,5.981E-06,5.892E-03,1.149E-02,8.292E-01,1.750E+00,-7.115E-02,1.737E+00,1.633E+00,4.935E+00,5.069E-02,1.000E+00,1.000E+00,4.963E-02,4.623E+00,1.818E+00,-8.296E-02,1.762E+00,1.359E+00,4.935E+00,3.777E-02,1.000E+00,1.000E+00,6.656E-02,3.690E+00,1.690E+00,-6.505E-02,1.904E+00,1.768E+00,4.935E+00,4.556E-02,1.000E+00,1.000E+00,1.240E-01,2.612E+00
1.200E+01,0.000E+00,0.000E+00,2.811E-03,0.000E+00,0.000E+00,2.441E-07,6.104E-06,5.964E-03,1.163E-02,8.398E-01,1.758E+00,-8.793E-02,1.827E+00,1.600E+00,4.935E+00,5.780E-02,1.000E+00,1.000E+00,4.948E-02,4.632E+00,1.815E+00,-9.081E-02,1.791E+00,1.384E+00,4.935E+00,4.454E-02,1.000E+00,1.000E+00,6.636E-02,3.698E+00,1.691E+00,-7.331E-02,1.939E+00,1.777E+00,4.935E+00,5.167E-02,1.000E+00,1.000E+00,1.242E-01,2.608E+00
