alpha,H,He,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,1.228E-03,1.572E-03,8.164E-04,0.000E+00,4.180E-04,5.088E-04,0.000E+00,0.000E+00,2.369E-03,9.335E-03,3.435E-01,1.855E+00,-4.027E-02,1.597E+00,1.157E+00,4.935E+00,3.200E-03,1.000E+00,1.000E+00,9.625E-02,3.051E+00,1.729E+00,1.427E-02,1.399E+00,1.711E+00,4.935E+00,1.298E-03,1.000E+00,1.000E+00,2.383E-01,1.574E+00,1.723E+00,-2.362E-02,1.704E+00,1.552E+00,4.935E+00,5.642E-03,1.000E+00,1.000E+00,1.125E-01,3.158E+00,1.836E+00,2.619E-02,1.189E+00,1.430E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,5.617E-02,4.980E+00
1.000E+00,0.000E+00,0.000E+00,1.074E-03,1.567E-03,8.932E-04,0.000E+00,5.577E-04,7.104E-04,0.000E+00,0.000E+00,2.264E-03,9.006E-03,3.410E-01,1.822E+00,-3.372E-02,1.535E+00,1.308E+00,4.935E+00,1.197E-02,1.000E+00,1.000E+00,9.497E-02,3.085E+00,1.711E+00,-3.358E-03,1.517E+00,1.690E+00,4.935E+00,8.259E-03,1.000E+00,1.000E+00,2.372E-01,1.580E+00,1.715E+00,-2.425E-02,1.679E+00,1.621E+00,4.935E+00,1.336E-02,1.000E+00,1.000E+00,1.120E-01,3.171E+00,1.806E+00,1.015E-02,1.277E+00,1.462E+00,4.935E+00,8.313E-03,1.000E+00,1.000E+00,5.646E-02,4.961E+00
2.000E+00,0.000E+00,0.000E+00,9.207E-04,1.562E-03,9.700E-04,0.000E+00,6.975E-04,9.121E-04,0.000E+00,0.000E+00,2.159E-03,8.677E-03,3.385E-01,1.793E+00,-2.717E-02,1.473E+00,1.458E+00,4.935E+00,2.075E-02,1.000E+00,1.000E+00,9.368E-02,3.120E+00,1.710E+00,-2.098E-02,1.635E+00,1.670E+00,4.935E+00,1.522E-02,1.000E+00,1.000E+00,2.360E-01,1.587E+00,1.707E+00,-2.487E-02,1.654E+00,1.691E+00,4.935E+00,2.108E-02,1.000E+00,1.000E+00,1.115E-01,3.183E+00,1.785E+00,-5.897E-03,1.365E+00,1.494E+00,4.935E+00,1.663E-02,1.000E+00,1.000E+00,5.676E-02,4.942E+00
3.000E+00,0.000E+00,0.000E+00,7.672E-04,1.557E-03,1.047E-03,0.000E+00,8.373E-04,1.114E-03,0.000E+00,0.000E+00,2.055E-03,8.348E-03,3.360E-01,1.768E+00,-2.061E-02,1.411E+00,1.609E+00,4.935E+00,2.952E-02,1.000E+00,1.000E+00,9.239E-02,3.154E+00,1.711E+00,-3.861E-02,1.753E+00,1.649E+00,4.935E+00,2.218E-02,1.000E+00,1.000E+00,2.349E-01,1.594E+00,1.700E+00,-2.550E-02,1.629E+00,1.760E+00,4.935E+00,2.880E-02,1.000E+00,1.000E+00,1.111E-01,3.195E+00,1.777E+00,-2.194E-02,1.453E+00,1.526E+00,4.935E+00,2.494E-02,1.000E+00,1.000E+00,5.705E-02,4.923E+00
4.000E+00,0.000E+00,0.000E+00,6.905E-04,1.554E-03,1.085E-03,0.000E+00,9.072E-04,1.215E-03,0.000E+00,0.000E+00,2.002E-03,8.184E-03,3.347E-01,1.757E+00,-1.733E-02,1.380E+00,1.684E+00,4.935E+00,3.391E-02,1.000E+00,1.000E+00,9.175E-02,3.172E+00,1.712E+00,-4.742E-02,1.812E+00,1.639E+00,4.935E+00,2.566E-02,1.000E+00,1.000E+00,2.343E-01,1.598E+00,1.696E+00,-2.581E-02,1.617E+00,1.795E+00,4.935E+00,3.266E-02,1.000E+00,1.000E+00,1.108E-01,3.201E+00,1.773E+00,-2.996E-02,1.496E+00,1.543E+00,4.935E+00,2.909E-02,1.000E+00,1.000E+00,5.720E-02,4.914E+00
5.000E+00,0.000E+00,0.000E+00,6.138E-04,1.552E-03,1.124E-03,0.000E+00,9.771E-04,1.315E-03,0.000E+00,0.000E+00,1.950E-03,8.020E-03,3.335E-01,1.747E+00,-1.406E-02,1.349E+00,1.759E+00,4.935E+00,3.830E-02,1.000E+00,1.000E+00,9.111E-02,3.189E+00,1.713E+00,-5.623E-02,1.870E+00,1.629E+00,4.935E+00,2.914E-02,1.000E+00,1.000E+00,2.337E-01,1.601E+00,1.693E+00,-2.612E-02,1.604E+00,1.829E+00,4.935E+00,3.652E-02,1.000E+00,1.000E+00,1.106E-01,3.207E+00,1.769E+00,-3.798E-02,1.540E+00,1.559E+00,4.935E+00,3.325E-02,1.000E+00,1.000E+00,5.734E-02,4.904E+00
6.000E+00,0.000E+00,0.000E+00,4.603E-04,1.547E-03,1.200E-03,0.000E+00,1.117E-03,1.517E-03,0.000E+00,0.000E+00,1.845E-03,7.691E-03,3.310E-01,1.730E+00,-7.501E-03,1.286E+00,1.910E+00,4.935E+00,4.707E-02,1.000E+00,1.000E+00,8.982E-02,3.223E+00,1.716E+00,-7.386E-02,1.988E+00,1.608E+00,4.935E+00,3.610E-02,1.000E+00,1.000E+00,2.325E-01,1.608E+00,1.687E+00,-2.675E-02,1.579E+00,1.899E+00,4.935E+00,4.424E-02,1.000E+00,1.000E+00,1.101E-01,3.219E+00,1.762E+00,-5.403E-02,1.628E+00,1.591E+00,4.935E+00,4.156E-02,1.000E+00,1.000E+00,5.764E-02,4.886E+00
7.000E+00,0.000E+00,0.000E+00,3.069E-04,1.542E-03,1.277E-03,0.000E+00,1.257E-03,1.719E-03,0.000E+00,0.000E+00,1.740E-03,7.362E-03,3.285E-01,1.715E+00,-9.458E-04,1.224E+00,2.060E+00,4.935E+00,5.584E-02,1.000E+00,1.000E+00,8.853E-02,3.258E+00,1.719E+00,-9.149E-02,2.106E+00,1.588E+00,4.935E+00,4.306E-02,1.000E+00,1.000E+00,2.314E-01,1.615E+00,1.682E+00,-2.737E-02,1.555E+00,1.968E+00,4.935E+00,5.196E-02,1.000E+00,1.000E+00,1.096E-01,3.231E+00,1.755E+00,-7.007E-02,1.716E+00,1.623E+00,4.935E+00,4.988E-02,1.000E+00,1.000E+00,5.793E-02,4.867E+00
8.000E+00,0.000E+00,0.000E+00,1.534E-04,1.536E-03,1.354E-03,0.000E+00,1.396E-03,1.920E-03,0.000E+00,0.000E+00,1.635E-03,7.033E-03,3.260E-01,1.709E+00,5.609E-03,1.162E+00,2.211E+00,4.935E+00,6.462E-02,1.000E+00,1.000E+00,8.725E-02,3.292E+00,1.724E+00,-1.091E-01,2.224E+00,1.567E+00,4.935E+00,5.002E-02,1.000E+00,1.000E+00,2.302E-01,1.622E+00,1.677E+00,-2.799E-02,1.530E+00,2.038E+00,4.935E+00,5.968E-02,1.000E+00,1.000E+00,1.091E-01,3.244E+00,1.749E+00,-8.611E-02,1.804E+00,1.656E+00,4.935E+00,5.819E-02,1.000E+00,1.000E+00,5.822E-02,4.848E+00
9.000E+00,0.000E+00,0.000E+00,7.672E-05,1.534E-03,1.392E-03,0.000E+00,1.466E-03,2.021E-03,0.000E+00,0.000E+00,1.583E-03,6.869E-03,3.247E-01,1.708E+00,8.886E-03,1.131E+00,2.286E+00,4.935E+00,6.901E-02,1.000E+00,1.000E+00,8.660E-02,3.310E+00,1.727E+00,-1.179E-01,2.283E+00,1.557E+00,4.935E+00,5.350E-02,1.000E+00,1.000E+00,2.296E-01,1.625E+00,1.674E+00,-2.831E-02,1.517E+00,2.072E+00,4.935E+00,6.354E-02,1.000E+00,1.000E+00,1.088E-01,3.250E+00,1.746E+00,-9.414E-02,1.848E+00,1.672E+00,4.935E+00,6.235E-02,1.000E+00,1.000E+00,5.837E-02,4.838E+00
