alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,2.520E-03,8.500E-04,0.000E+00,0.000E+00,0.000E+00,2.073E-03,8.995E-03,2.867E-01,1.680E+00,1.678E-03,1.541E+00,1.818E+00,4.935E+00,3.500E-03,1.000E+00,1.000E+00,2.476E-01,1.522E+00,1.713E+00,-5.614E-03,1.615E+00,1.593E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.133E-01,3.140E+00,1.842E+00,-3.718E-02,1.634E+00,1.165E+00,4.935E+00,1.637E-03,1.000E+00,1.000E+00,5.461E-02,5.087E+00
1.000E+00,0.000E+00,0.000E+00,2.553E-03,8.658E-04,0.000E+00,0.000E+00,9.766E-08,2.086E-03,9.071E-03,2.896E-01,1.676E+00,-3.247E-03,1.542E+00,1.861E+00,4.935E+00,1.099E-02,1.000E+00,1.000E+00,2.461E-01,1.531E+00,1.709E+00,-1.343E-02,1.635E+00,1.636E+00,4.935E+00,8.567E-03,1.000E+00,1.000E+00,1.132E-01,3.142E+00,1.803E+00,-2.582E-02,1.544E+00,1.340E+00,4.935E+00,8.706E-03,1.000E+00,1.000E+00,5.463E-02,5.085E+00
2.000E+00,0.000E+00,0.000E+00,2.585E-03,8.816E-04,0.000E+00,0.000E+00,1.953E-07,2.100E-03,9.146E-03,2.925E-01,1.674E+00,-8.172E-03,1.543E+00,1.905E+00,4.935E+00,1.849E-02,1.000E+00,1.000E+00,2.445E-01,1.540E+00,1.705E+00,-2.126E-02,1.656E+00,1.680E+00,4.935E+00,1.713E-02,1.000E+00,1.000E+00,1.131E-01,3.145E+00,1.771E+00,-1.447E-02,1.453E+00,1.515E+00,4.935E+00,1.577E-02,1.000E+00,1.000E+00,5.465E-02,5.084E+00
3.000E+00,0.000E+00,0.000E+00,2.618E-03,8.975E-04,0.000E+00,0.000E+00,2.930E-07,2.113E-03,9.221E-03,2.954E-01,1.672E+00,-1.310E-02,1.544E+00,1.948E+00,4.935E+00,2.598E-02,1.000E+00,1.000E+00,2.429E-01,1.548E+00,1.701E+00,-2.908E-02,1.677E+00,1.724E+00,4.935E+00,2.570E-02,1.000E+00,1.000E+00,1.130E-01,3.147E+00,1.745E+00,-3.110E-03,1.362E+00,1.690E+00,4.935E+00,2.284E-02,1.000E+00,1.000E+00,5.467E-02,5.083E+00
4.000E+00,0.000E+00,0.000E+00,2.634E-03,9.054E-04,0.000E+00,0.000E+00,3.418E-07,2.120E-03,9.258E-03,2.969E-01,1.671E+00,-1.556E-02,1.545E+00,1.970E+00,4.935E+00,2.973E-02,1.000E+00,1.000E+00,2.422E-01,1.553E+00,1.699E+00,-3.299E-02,1.687E+00,1.745E+00,4.935E+00,2.999E-02,1.000E+00,1.000E+00,1.130E-01,3.148E+00,1.736E+00,2.568E-03,1.317E+00,1.777E+00,4.935E+00,2.638E-02,1.000E+00,1.000E+00,5.468E-02,5.082E+00
5.000E+00,0.000E+00,0.000E+00,2.650E-03,9.133E-04,0.000E+00,0.000E+00,3.906E-07,2.127E-03,9.296E-03,2.983E-01,1.670E+00,-1.802E-02,1.546E+00,1.992E+00,4.935E+00,3.347E-02,1.000E+00,1.000E+00,2.414E-01,1.557E+00,1.698E+00,-3.690E-02,1.698E+00,1.767E+00,4.935E+00,3.427E-02,1.000E+00,1.000E+00,1.129E-01,3.150E+00,1.733E+00,8.246E-03,1.271E+00,1.865E+00,4.935E+00,2.991E-02,1.000E+00,1.000E+00,5.469E-02,5.081E+00
6.000E+00,0.000E+00,0.000E+00,2.682E-03,9.291E-04,0.000E+00,0.000E+00,4.883E-07,2.140E-03,9.371E-03,3.012E-01,1.668E+00,-2.295E-02,1.547E+00,2.035E+00,4.935E+00,4.097E-02,1.000E+00,1.000E+00,2.398E-01,1.566E+00,1.694E+00,-4.472E-02,1.718E+00,1.811E+00,4.935E+00,4.284E-02,1.000E+00,1.000E+00,1.128E-01,3.152E+00,1.730E+00,1.960E-02,1.181E+00,2.040E+00,4.935E+00,3.698E-02,1.000E+00,1.000E+00,5.471E-02,5.080E+00
7.000E+00,0.000E+00,0.000E+00,2.715E-03,9.449E-04,0.000E+00,0.000E+00,5.859E-07,2.154E-03,9.446E-03,3.041E-01,1.667E+00,-2.787E-02,1.548E+00,2.079E+00,4.935E+00,4.846E-02,1.000E+00,1.000E+00,2.383E-01,1.574E+00,1.691E+00,-5.254E-02,1.739E+00,1.854E+00,4.935E+00,5.140E-02,1.000E+00,1.000E+00,1.127E-01,3.154E+00,1.731E+00,3.096E-02,1.090E+00,2.215E+00,4.935E+00,4.405E-02,1.000E+00,1.000E+00,5.473E-02,5.079E+00
8.000E+00,0.000E+00,0.000E+00,2.747E-03,9.607E-04,0.000E+00,0.000E+00,6.836E-07,2.167E-03,9.522E-03,3.070E-01,1.665E+00,-3.280E-02,1.549E+00,2.122E+00,4.935E+00,5.596E-02,1.000E+00,1.000E+00,2.367E-01,1.583E+00,1.687E+00,-6.036E-02,1.760E+00,1.898E+00,4.935E+00,5.997E-02,1.000E+00,1.000E+00,1.126E-01,3.157E+00,1.736E+00,4.231E-02,9.989E-01,2.390E+00,4.935E+00,5.112E-02,1.000E+00,1.000E+00,5.475E-02,5.077E+00
9.000E+00,0.000E+00,0.000E+00,2.763E-03,9.687E-04,0.000E+00,0.000E+00,7.324E-07,2.174E-03,9.559E-03,3.084E-01,1.664E+00,-3.526E-02,1.550E+00,2.144E+00,4.935E+00,5.970E-02,1.000E+00,1.000E+00,2.360E-01,1.587E+00,1.686E+00,-6.427E-02,1.770E+00,1.920E+00,4.935E+00,6.425E-02,1.000E+00,1.000E+00,1.126E-01,3.158E+00,1.740E+00,4.799E-02,9.536E-01,2.477E+00,4.935E+00,5.465E-02,1.000E+00,1.000E+00,5.476E-02,5.076E+00
