alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,4.585E-03,0.000E+00,0.000E+00,5.859E-06,1.465E-05,2.336E-03,9.155E-03,3.241E-01,1.814E+00,-2.071E-03,1.477E+00,1.244E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,2.345E-01,1.596E+00,1.720E+00,2.874E-02,1.374E+00,1.801E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.133E-01,3.139E+00,1.756E+00,-2.873E-03,1.353E+00,1.641E+00,4.935E+00,4.267E-03,1.000E+00,1.000E+00,5.480E-02,5.073E+00
1.000E+00,0.000E+00,0.000E+00,4.630E-03,0.000E+00,0.000E+00,6.104E-06,1.489E-05,2.346E-03,9.224E-03,3.265E-01,1.801E+00,-1.416E-02,1.533E+00,1.304E+00,4.935E+00,8.747E-03,1.000E+00,1.000E+00,2.344E-01,1.597E+00,1.705E+00,1.173E-02,1.461E+00,1.770E+00,4.935E+00,9.025E-03,1.000E+00,1.000E+00,1.130E-01,3.148E+00,1.759E+00,-5.523E-03,1.344E+00,1.651E+00,4.935E+00,1.118E-02,1.000E+00,1.000E+00,5.461E-02,5.087E+00
2.000E+00,0.000E+00,0.000E+00,4.674E-03,0.000E+00,0.000E+00,6.348E-06,1.514E-05,2.357E-03,9.293E-03,3.290E-01,1.789E+00,-2.625E-02,1.588E+00,1.364E+00,4.935E+00,1.749E-02,1.000E+00,1.000E+00,2.342E-01,1.597E+00,1.698E+00,-5.277E-03,1.548E+00,1.739E+00,4.935E+00,1.805E-02,1.000E+00,1.000E+00,1.126E-01,3.157E+00,1.762E+00,-8.173E-03,1.334E+00,1.661E+00,4.935E+00,1.809E-02,1.000E+00,1.000E+00,5.442E-02,5.100E+00
3.000E+00,0.000E+00,0.000E+00,4.719E-03,0.000E+00,0.000E+00,6.592E-06,1.538E-05,2.367E-03,9.363E-03,3.314E-01,1.778E+00,-3.835E-02,1.643E+00,1.425E+00,4.935E+00,2.624E-02,1.000E+00,1.000E+00,2.341E-01,1.598E+00,1.705E+00,-2.229E-02,1.635E+00,1.709E+00,4.935E+00,2.707E-02,1.000E+00,1.000E+00,1.123E-01,3.165E+00,1.766E+00,-1.082E-02,1.324E+00,1.671E+00,4.935E+00,2.500E-02,1.000E+00,1.000E+00,5.424E-02,5.113E+00
4.000E+00,0.000E+00,0.000E+00,4.741E-03,0.000E+00,0.000E+00,6.714E-06,1.550E-05,2.372E-03,9.397E-03,3.326E-01,1.772E+00,-4.439E-02,1.670E+00,1.455E+00,4.935E+00,3.061E-02,1.000E+00,1.000E+00,2.340E-01,1.599E+00,1.708E+00,-3.079E-02,1.679E+00,1.693E+00,4.935E+00,3.159E-02,1.000E+00,1.000E+00,1.121E-01,3.170E+00,1.767E+00,-1.215E-02,1.319E+00,1.676E+00,4.935E+00,2.845E-02,1.000E+00,1.000E+00,5.414E-02,5.120E+00
5.000E+00,0.000E+00,0.000E+00,4.764E-03,0.000E+00,0.000E+00,6.836E-06,1.563E-05,2.377E-03,9.432E-03,3.338E-01,1.767E+00,-5.044E-02,1.698E+00,1.485E+00,4.935E+00,3.499E-02,1.000E+00,1.000E+00,2.339E-01,1.599E+00,1.712E+00,-3.930E-02,1.723E+00,1.678E+00,4.935E+00,3.610E-02,1.000E+00,1.000E+00,1.119E-01,3.174E+00,1.769E+00,-1.347E-02,1.314E+00,1.680E+00,4.935E+00,3.191E-02,1.000E+00,1.000E+00,5.405E-02,5.127E+00
6.000E+00,0.000E+00,0.000E+00,4.808E-03,0.000E+00,0.000E+00,7.080E-06,1.587E-05,2.388E-03,9.501E-03,3.363E-01,1.757E+00,-6.253E-02,1.753E+00,1.545E+00,4.935E+00,4.373E-02,1.000E+00,1.000E+00,2.338E-01,1.600E+00,1.720E+00,-5.630E-02,1.810E+00,1.647E+00,4.935E+00,4.512E-02,1.000E+00,1.000E+00,1.115E-01,3.183E+00,1.772E+00,-1.612E-02,1.305E+00,1.690E+00,4.935E+00,3.881E-02,1.000E+00,1.000E+00,5.386E-02,5.140E+00
7.000E+00,0.000E+00,0.000E+00,4.853E-03,0.000E+00,0.000E+00,7.324E-06,1.611E-05,2.398E-03,9.570E-03,3.387E-01,1.747E+00,-7.462E-02,1.808E+00,1.606E+00,4.935E+00,5.248E-02,1.000E+00,1.000E+00,2.336E-01,1.601E+00,1.728E+00,-7.331E-02,1.897E+00,1.616E+00,4.935E+00,5.415E-02,1.000E+00,1.000E+00,1.112E-01,3.191E+00,1.776E+00,-1.877E-02,1.295E+00,1.700E+00,4.935E+00,4.572E-02,1.000E+00,1.000E+00,5.367E-02,5.153E+00
8.000E+00,0.000E+00,0.000E+00,4.898E-03,0.000E+00,0.000E+00,7.568E-06,1.636E-05,2.409E-03,9.639E-03,3.411E-01,1.737E+00,-8.671E-02,1.863E+00,1.666E+00,4.935E+00,6.123E-02,1.000E+00,1.000E+00,2.335E-01,1.602E+00,1.737E+00,-9.032E-02,1.984E+00,1.586E+00,4.935E+00,6.317E-02,1.000E+00,1.000E+00,1.108E-01,3.200E+00,1.779E+00,-2.142E-02,1.285E+00,1.710E+00,4.935E+00,5.263E-02,1.000E+00,1.000E+00,5.349E-02,5.167E+00
9.000E+00,0.000E+00,0.000E+00,4.920E-03,0.000E+00,0.000E+00,7.690E-06,1.648E-05,2.414E-03,9.673E-03,3.423E-01,1.733E+00,-9.276E-02,1.891E+00,1.696E+00,4.935E+00,6.560E-02,1.000E+00,1.000E+00,2.334E-01,1.602E+00,1.742E+00,-9.883E-02,2.028E+00,1.570E+00,4.935E+00,6.768E-02,1.000E+00,1.000E+00,1.106E-01,3.204E+00,1.781E+00,-2.275E-02,1.281E+00,1.715E+00,4.935E+00,5.609E-02,1.000E+00,1.000E+00,5.339E-02,5.173E+00
