alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,3.039E-03,8.311E-04,0.000E+00,0.000E+00,9.766E-07,2.191E-03,8.701E-03,3.932E-01,1.797E+00,-4.738E-02,1.606E+00,1.417E+00,4.935E+00,1.764E-02,1.000E+00,1.000E+00,6.180E-02,3.888E+00,1.649E+00,2.622E-02,1.569E+00,1.983E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.087E-01,3.251E+00,1.802E+00,-3.203E-02,1.626E+00,1.306E+00,4.935E+00,5.543E-03,1.000E+00,1.000E+00,5.712E-02,4.917E+00
1.000E+00,0.000E+00,0.000E+00,3.054E-03,8.049E-04,0.000E+00,0.000E+00,9.766E-07,2.227E-03,8.806E-03,3.960E-01,1.792E+00,-4.629E-02,1.581E+00,1.453E+00,4.935E+00,2.172E-02,1.000E+00,1.000E+00,6.123E-02,3.914E+00,1.643E+00,1.996E-02,1.581E+00,2.004E+00,4.935E+00,6.209E-03,1.000E+00,1.000E+00,1.087E-01,3.253E+00,1.795E+00,-3.569E-02,1.633E+00,1.348E+00,4.935E+00,1.029E-02,1.000E+00,1.000E+00,5.681E-02,4.938E+00
2.000E+00,0.000E+00,0.000E+00,3.069E-03,7.788E-04,0.000E+00,0.000E+00,9.766E-07,2.263E-03,8.911E-03,3.987E-01,1.788E+00,-4.520E-02,1.557E+00,1.490E+00,4.935E+00,2.580E-02,1.000E+00,1.000E+00,6.067E-02,3.941E+00,1.638E+00,1.369E-02,1.592E+00,2.024E+00,4.935E+00,1.242E-02,1.000E+00,1.000E+00,1.086E-01,3.254E+00,1.787E+00,-3.935E-02,1.640E+00,1.390E+00,4.935E+00,1.504E-02,1.000E+00,1.000E+00,5.651E-02,4.959E+00
3.000E+00,0.000E+00,0.000E+00,3.084E-03,7.527E-04,0.000E+00,0.000E+00,9.766E-07,2.298E-03,9.016E-03,4.014E-01,1.784E+00,-4.411E-02,1.532E+00,1.527E+00,4.935E+00,2.988E-02,1.000E+00,1.000E+00,6.010E-02,3.967E+00,1.632E+00,7.426E-03,1.604E+00,2.045E+00,4.935E+00,1.863E-02,1.000E+00,1.000E+00,1.086E-01,3.255E+00,1.781E+00,-4.300E-02,1.647E+00,1.432E+00,4.935E+00,1.979E-02,1.000E+00,1.000E+00,5.620E-02,4.980E+00
4.000E+00,0.000E+00,0.000E+00,3.092E-03,7.396E-04,0.000E+00,0.000E+00,9.766E-07,2.316E-03,9.068E-03,4.028E-01,1.782E+00,-4.356E-02,1.520E+00,1.545E+00,4.935E+00,3.192E-02,1.000E+00,1.000E+00,5.982E-02,3.980E+00,1.629E+00,4.294E-03,1.610E+00,2.055E+00,4.935E+00,2.173E-02,1.000E+00,1.000E+00,1.085E-01,3.256E+00,1.777E+00,-4.483E-02,1.650E+00,1.453E+00,4.935E+00,2.216E-02,1.000E+00,1.000E+00,5.604E-02,4.990E+00
5.000E+00,0.000E+00,0.000E+00,3.100E-03,7.266E-04,0.000E+00,0.000E+00,9.766E-07,2.334E-03,9.121E-03,4.042E-01,1.780E+00,-4.302E-02,1.508E+00,1.563E+00,4.935E+00,3.396E-02,1.000E+00,1.000E+00,5.954E-02,3.993E+00,1.627E+00,1.162E-03,1.616E+00,2.065E+00,4.935E+00,2.484E-02,1.000E+00,1.000E+00,1.085E-01,3.257E+00,1.774E+00,-4.666E-02,1.653E+00,1.473E+00,4.935E+00,2.454E-02,1.000E+00,1.000E+00,5.589E-02,5.000E+00
6.000E+00,0.000E+00,0.000E+00,3.115E-03,7.004E-04,0.000E+00,0.000E+00,9.766E-07,2.370E-03,9.225E-03,4.069E-01,1.777E+00,-4.193E-02,1.483E+00,1.600E+00,4.935E+00,3.804E-02,1.000E+00,1.000E+00,5.897E-02,4.020E+00,1.627E+00,-5.103E-03,1.628E+00,2.086E+00,4.935E+00,3.105E-02,1.000E+00,1.000E+00,1.085E-01,3.258E+00,1.768E+00,-5.032E-02,1.660E+00,1.515E+00,4.935E+00,2.929E-02,1.000E+00,1.000E+00,5.558E-02,5.021E+00
7.000E+00,0.000E+00,0.000E+00,3.130E-03,6.743E-04,0.000E+00,0.000E+00,9.766E-07,2.405E-03,9.330E-03,4.096E-01,1.774E+00,-4.084E-02,1.459E+00,1.636E+00,4.935E+00,4.212E-02,1.000E+00,1.000E+00,5.841E-02,4.046E+00,1.628E+00,-1.137E-02,1.640E+00,2.106E+00,4.935E+00,3.725E-02,1.000E+00,1.000E+00,1.084E-01,3.260E+00,1.761E+00,-5.398E-02,1.667E+00,1.557E+00,4.935E+00,3.404E-02,1.000E+00,1.000E+00,5.527E-02,5.042E+00
8.000E+00,0.000E+00,0.000E+00,3.145E-03,6.482E-04,0.000E+00,0.000E+00,9.766E-07,2.441E-03,9.435E-03,4.124E-01,1.771E+00,-3.974E-02,1.434E+00,1.673E+00,4.935E+00,4.620E-02,1.000E+00,1.000E+00,5.784E-02,4.073E+00,1.629E+00,-1.763E-02,1.651E+00,2.127E+00,4.935E+00,4.346E-02,1.000E+00,1.000E+00,1.084E-01,3.261E+00,1.755E+00,-5.763E-02,1.673E+00,1.599E+00,4.935E+00,3.879E-02,1.000E+00,1.000E+00,5.496E-02,5.063E+00
9.000E+00,0.000E+00,0.000E+00,3.153E-03,6.351E-04,0.000E+00,0.000E+00,9.766E-07,2.459E-03,9.488E-03,4.137E-01,1.770E+00,-3.920E-02,1.422E+00,1.691E+00,4.935E+00,4.824E-02,1.000E+00,1.000E+00,5.756E-02,4.086E+00,1.630E+00,-2.076E-02,1.657E+00,2.137E+00,4.935E+00,4.657E-02,1.000E+00,1.000E+00,1.083E-01,3.262E+00,1.752E+00,-5.946E-02,1.677E+00,1.620E+00,4.935E+00,4.116E-02,1.000E+00,1.000E+00,5.481E-02,5.073E+00
