alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
0.0,0.0,0.0,0.0030654296875,0.0016611328125,0.0,0.0,0.0,0.00129296875,0.0089462890625,0.4556358361356467,1.785101292202997,0.004709805707339796,1.3984499897879903,1.4285791207983838,8.283185307179584,0.0,1.0,1.0,0.06135351966224953,3.9075050739938164,1.6340266907068237,0.021993075170920022,1.6290582927213901,2.003541636782252,8.283185307179584,0.0,1.0,1.0,0.1057489860791547,3.328590959866382,1.772777109992056,0.01659785574034285,1.3330559604560963,1.5611134385569523,8.283185307179584,0.0,1.0,1.0,0.03876919810134227,5.603979223659446
1.0,0.0,0.0,0.003079345703125,0.0016585693359375,0.0,0.0,0.0,0.0013142089843750002,0.008990478515625,0.4580932197126611,1.7654157380617375,0.0025416503806012037,1.4092773500664202,1.5101483451651856,8.283185307179584,0.003542712814592894,1.0,1.0,0.06101207692247009,3.923265259044733,1.625842942141612,0.012983280566626327,1.672946455276556,2.0008794689509832,8.283185307179584,0.004912737252850032,1.0,1.0,0.10580604120386583,3.3270865212569394,1.7700348666641312,0.009156633755680606,1.359428059137097,1.5434184376349067,8.283185307179584,0.005052171485435141,1.0,1.0,0.038976131637987715,5.584625070263124
2.0,0.0,0.0,0.0030932617187499995,0.001656005859375,0.0,0.0,0.0,0.0013354492187500002,0.00903466796875,0.4605506032896755,1.746652062020594,0.0003734950538626107,1.4201047103448503,1.5917175695319874,8.283185307179584,0.007085425629185788,1.0,1.0,0.060670634182690655,3.939025444095649,1.6179301874969372,0.0039734859623326325,1.7168346178317222,1.998217301119714,8.283185307179584,0.009825474505700064,1.0,1.0,0.10586309632857696,3.3255820826474967,1.767461693795752,0.001715411771018362,1.3858001578180978,1.5257234367128611,8.283185307179584,0.010104342970870282,1.0,1.0,0.039183065174633165,5.565270916866801
3.0,0.0,0.0,0.0031071777343749996,0.0016534423828125002,0.0,0.0,0.0,0.001356689453125,0.009078857421875,0.4630079868666899,1.730764219074612,-0.001794660272875982,1.4309320706232804,1.673286793898789,8.283185307179584,0.010628138443778683,1.0,1.0,0.06032919144291122,3.9547856291465657,1.6155982929745742,-0.005036308641961062,1.7607227803868883,1.9955551332884447,8.283185307179584,0.014738211758550095,1.0,1.0,0.10592015145328809,3.324077644038054,1.7716051330219793,-0.0057258102136438825,1.4121722564990984,1.5080284357908158,8.283185307179584,0.015156514456305423,1.0,1.0,0.039389998711278615,5.545916763470479
4.0,0.0,0.0,0.0031141357421874995,0.0016521606445312502,0.0,0.0,0.0,0.0013673095703125,0.009100952148437499,0.46423667865519713,1.7233221119745374,-0.0028787379362452785,1.4363457507624955,1.7140714060821898,8.283185307179584,0.01239949485107513,1.0,1.0,0.0601584700730215,3.962665721672024,1.6165809823260406,-0.00954120594410791,1.7826668616644714,1.9942240493728103,8.283185307179584,0.017194580384975112,1.0,1.0,0.10594867901564364,3.3233254247333326,1.7746947138742382,-0.009446421205975004,1.4253583058395987,1.4991809353297931,8.283185307179584,0.017682600199022992,1.0,1.0,0.039493465479601336,5.536239686772317
5.0,0.0,0.0,0.0031210937499999997,0.0016508789062500001,0.0,0.0,0.0,0.0013779296875,0.009123046874999999,0.46546537044370434,1.7160624596430631,-0.003962815599614575,1.4417594309017105,1.7548560182655908,8.283185307179584,0.014170851258371576,1.0,1.0,0.05998774870313178,3.9705458141974823,1.6175897834738802,-0.014046103246254757,1.8046109429420545,1.9928929654571756,8.283185307179584,0.019650949011400128,1.0,1.0,0.10597720657799921,3.3225732054286112,1.7778064723388485,-0.013167032198306127,1.4385443551800992,1.4903334348687702,8.283185307179584,0.020208685941740565,1.0,1.0,0.03959693224792406,5.526562610074157
6.0,0.0,0.0,0.003135009765625,0.0016483154296875,0.0,0.0,0.0,0.001399169921875,0.009167236328124998,0.46792275402071876,1.7020609150698214,-0.006130970926353167,1.4525867911801407,1.8364252426323926,8.283185307179584,0.01771356407296447,1.0,1.0,0.059646305963352346,3.9863059992483985,1.6196799882005781,-0.02305589785054845,1.8484991054972206,1.9902307976259066,8.283185307179584,0.024563686264250158,1.0,1.0,0.10603426170271033,3.3210687668191685,1.7840949418047514,-0.02060825418296837,1.4649164538611,1.4726384339467247,8.283185307179584,0.025260857427175706,1.0,1.0,0.0398038657845695,5.5072084566778345
7.0,0.0,0.0,0.00314892578125,0.001645751953125,0.0,0.0,0.0,0.00142041015625,0.00921142578125,0.47038013759773317,1.688704500697278,-0.00829912625309176,1.4634141514585708,1.9179944669991942,8.283185307179584,0.021256276887557365,1.0,1.0,0.05930486322357291,4.002066184299315,1.6218601331052809,-0.03206569245484214,1.8923872680523866,1.9875686297946373,8.283185307179584,0.02947642351710019,1.0,1.0,0.10609131682742146,3.319564328209726,1.7904696881563085,-0.028049476167630615,1.4912885525421005,1.4549434330246793,8.283185307179584,0.030313028912610847,1.0,1.0,0.04001079932121495,5.487854303281512
8.0,0.0,0.0,0.003162841796875,0.0016431884765624998,0.0,0.0,0.0,0.0014416503906249998,0.009255615234375,0.4728375211747476,1.6759440448326766,-0.010467281579830352,1.474241511737001,1.999563691365996,8.283185307179584,0.02479898970215026,1.0,1.0,0.05896342048379347,4.017826369350232,1.6241239985791127,-0.04107548705913584,1.9362754306075525,1.9849064619633683,8.283185307179584,0.034389160769950224,1.0,1.0,0.10614837195213259,3.318059889600283,1.7969317452935156,-0.03549069815229286,1.5176606512231012,1.4372484321026338,8.283185307179584,0.035365200398045984,1.0,1.0,0.0402177328578604,5.46850014988519
9.0,0.0,0.0,0.0031697998046875,0.0016419067382812498,0.0,0.0,0.0,0.0014522705078124998,0.0092777099609375,0.4740662129632548,1.669773347739412,-0.011551359243199649,1.479655191876216,2.040348303549397,8.283185307179584,0.026570346109446703,1.0,1.0,0.05879269911390375,4.025706461875689,1.625285750915385,-0.045580384361282686,1.9582195118851355,1.9835753780477337,8.283185307179584,0.03684552939637524,1.0,1.0,0.10617689951448815,3.3173076702955617,1.8001960459888156,-0.03921130914462398,1.5308467005636017,1.4284009316416109,8.283185307179584,0.03789128614076356,1.0,1.0,0.04032119962618312,5.458823073187029
