alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,3dK_Na,3dTilt_Na,3dM_Na,3dN_Na,energyK_Na,energyE_Na,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.0,0.0,0.0,0.0022568359375,0.0,0.001484375,0.0,0.0,0.0,0.0007578125,0.0032646484375,0.0022333984375,0.0053681640625,0.3130912236091839,1.8212211400121392,-0.032329070061545145,1.6592505027357978,1.2059560369623414,8.283185307179584,0.0,1.0,1.0,0.07586970276613392,3.9885304508297086,1.6837400877971826,0.0012875169692729144,1.626131083793914,1.7021634999274684,8.283185307179584,0.0,1.0,1.0,0.3043122062054008,1.2786048347612327,1.6680331146687046,-0.03853810595377111,1.8827497668727444,1.7599983664957926,8.283185307179584,0.015319132190809416,1.0,1.0,0.11606854395095126,3.077048761570549,1.7647247418262764,-0.020334982135923347,1.5744991036247649,1.4558537588062614,8.283185307179584,0.0,1.0,1.0,0.06290214876786655,4.570743136169467
1.0,0.0,0.0,0.0022619628906249876,0.0,0.0014791259765625,0.0,0.0,0.0,0.0007706298828125001,0.00333447265625,0.0022496337890625,0.0053870849609375,0.315239364555741,1.7822147180605978,-0.02306347422972699,1.5771110978108585,1.3883455766325494,8.283185307179584,0.008854029246249307,1.0,1.0,0.07605831818005317,3.980907331259858,1.6754437197605787,0.001335335462647664,1.5949615374448163,1.7830915671606506,8.283185307179584,0.007031227109109208,1.0,1.0,0.3035394532445095,1.2815263569947704,1.6703387561172405,-0.044816250542771024,1.8914617238635911,1.7747879468033325,8.283185307179584,0.02219042375783023,1.0,1.0,0.11562372894174813,3.0873144659182774,1.7606771360340971,-0.02531241509010155,1.563821919204841,1.5103738088466012,8.283185307179584,0.008397646992834781,1.0,1.0,0.06268946022480265,4.582798977454929
2.0,0.0,0.0,0.002267089843749975,0.0,0.001473876953125,0.0,0.0,0.0,0.000783447265625,0.0034042968749999998,0.0022658691406249997,0.005406005859375,0.3173875055022981,1.7499408262527862,-0.013797878397908839,1.494971692885919,1.5707351163027572,8.283185307179584,0.017708058492498614,1.0,1.0,0.07624693359397242,3.973284211690007,1.667971306747957,0.001383153956022414,1.5637919910957188,1.864019634393833,8.283185307179584,0.014062454218218416,1.0,1.0,0.3027667002836182,1.284447879228308,1.672618295913376,-0.05109439513177094,1.9001736808544378,1.7895775271108727,8.283185307179584,0.029061715324851047,1.0,1.0,0.115178913932545,3.0975801702660055,1.7569839568502492,-0.030289848044279748,1.553144734784917,1.5648938588869412,8.283185307179584,0.016795293985669563,1.0,1.0,0.06247677168173876,4.594854818740391
3.0,0.0,0.0,0.0022722167968749624,0.0,0.0014686279296874999,0.0,0.0,0.0,0.0007962646484375,0.00347412109375,0.0022821044921875,0.0054249267578125,0.3195356464488552,1.7233239683974872,-0.004532282566090686,1.4128322879609794,1.753124655972965,8.283185307179584,0.026562087738747922,1.0,1.0,0.07643554900789168,3.965661092120156,1.6612732938808255,0.001430972449397164,1.5326224447466212,1.9449477016270151,8.283185307179584,0.021093681327327623,1.0,1.0,0.3019939473227269,1.287369401461846,1.6748698071143333,-0.05737253972077086,1.9088856378452845,1.8043671074184129,8.283185307179584,0.035933006891871865,1.0,1.0,0.11473409892334185,3.1078458746137336,1.7536191130649923,-0.035267280998457946,1.5424675503649932,1.619413908927281,8.283185307179584,0.025192940978504344,1.0,1.0,0.062264083138674875,4.606910660025852
4.0,0.0,0.0,0.0022747802734374564,0.0,0.00146600341796875,0.0,0.0,0.0,0.00080267333984375,0.0035090332031250003,0.0022902221679687498,0.00543438720703125,0.3206097169221337,1.711996663752107,0.00010051534981839064,1.3717625854985096,1.8443194258080688,8.283185307179584,0.030989102361872575,1.0,1.0,0.0765298567148513,3.9618495323352305,1.6582008076502457,0.0014548816960845389,1.5170376715720724,1.9854117352436063,8.283185307179584,0.024609294881882227,1.0,1.0,0.3016075708422813,1.288830162578615,1.6759845011816121,-0.06051161201527082,1.913241616340708,1.811761897572183,8.283185307179584,0.03936865267538227,1.0,1.0,0.11451169141874029,3.1129787267875977,1.7520521787349945,-0.037755997475547046,1.5371289581550314,1.6466739339474508,8.283185307179584,0.029391764474921735,1.0,1.0,0.06215773886714293,4.612938580668583
5.0,0.0,0.0,0.00227734374999995,0.0,0.00146337890625,0.0,0.0,0.0,0.00080908203125,0.0035439453125,0.00229833984375,0.0054438476562500004,0.32168378739541226,1.707067264046113,0.004733313265727467,1.3306928830360398,1.9355141956431727,8.283185307179584,0.03541611698499723,1.0,1.0,0.07662416442181093,3.958037972550305,1.6553059266754953,0.0014787909427719137,1.5014528983975235,2.0258757688601974,8.283185307179584,0.02812490843643683,1.0,1.0,0.30122119436183564,1.2902909236953837,1.6770915478114543,-0.06365068430977078,1.9175975948361312,1.819156687725953,8.283185307179584,0.04280429845889268,1.0,1.0,0.11428928391413873,3.1181115789614617,1.750558378910076,-0.040244713952636145,1.5317903659450693,1.6739339589676208,8.283185307179584,0.033590587971339125,1.0,1.0,0.06205139459561098,4.618966501311314
6.0,0.0,0.0,0.0022824707031249376,0.0,0.0014581298828125,0.0,0.0,0.0,0.0008218994140625001,0.00361376953125,0.0023145751953125,0.005462768554687501,0.32383192834196933,1.7006377525198773,0.01399890909754562,1.2485534781111003,2.117903735313381,8.283185307179584,0.04427014623124653,1.0,1.0,0.07681277983573018,3.9504148529804546,1.6500305485434779,0.0015266094361466634,1.4702833520484258,2.1068038360933796,8.283185307179584,0.03515613554554604,1.0,1.0,0.3004484414009444,1.2932124459289214,1.6792819347199617,-0.0699288288987707,1.926309551826978,1.8339462680334933,8.283185307179584,0.0496755900259135,1.0,1.0,0.11384446890493559,3.12837728330919,1.747779210371757,-0.04522214690681435,1.5211131815251455,1.7284540090079605,8.283185307179584,0.04198823496417391,1.0,1.0,0.061838706052547085,4.631022342596776
7.0,0.0,0.0,0.0022875976562499248,0.0,0.0014528808593750001,0.0,0.0,0.0,0.000834716796875,0.0036835937500000002,0.002330810546875,0.005481689453125001,0.3259800692885264,1.698328310093371,0.023264504929363772,1.1664140731861607,2.3002932749835887,8.283185307179584,0.053124175477495844,1.0,1.0,0.07700139524964944,3.942791733410604,1.6454130072390134,0.0015744279295214132,1.4391138056993282,2.187731903326562,8.283185307179584,0.042187362654655246,1.0,1.0,0.2996756884400531,1.2961339681624593,1.6814395221747622,-0.07620697348777061,1.9350215088178246,1.8487358483410334,8.283185307179584,0.05654688159293431,1.0,1.0,0.11339965389573245,3.138642987656918,1.745260587459461,-0.05019957986099255,1.5104359971052217,1.7829740590483003,8.283185307179584,0.05038588195700869,1.0,1.0,0.0616260175094832,4.643078183882237
8.0,0.0,0.0,0.0022927246093749124,0.0,0.0014476318359375002,0.0,0.0,0.0,0.0008475341796875,0.00375341796875,0.0023470458984375,0.005500610351562501,0.32812821023508354,1.6996698523369975,0.03253010076118193,1.0842746682612212,2.4826828146537965,8.283185307179584,0.06197820472374515,1.0,1.0,0.07719001066356869,3.9351686138407533,1.6414231516804456,0.001622246422896163,1.4079442593502307,2.268659970559744,8.283185307179584,0.049218589763764455,1.0,1.0,0.2989029354791618,1.299055490395997,1.6835629850048313,-0.08248511807677053,1.9437334658086716,1.8635254286485736,8.283185307179584,0.06341817315995513,1.0,1.0,0.11295483888652932,3.148908692004646,1.7429828772133358,-0.05517701281517075,1.4997588126852979,1.8374941090886403,8.283185307179584,0.05878352894984347,1.0,1.0,0.0614133289664193,4.6551340251676985
9.0,0.0,0.0,0.002295288085937406,0.0,0.0014450073242187503,0.0,0.0,0.0,0.00085394287109375,0.003788330078125,0.00235516357421875,0.005510070800781251,0.3292022807083621,1.7015795910206963,0.03716289867709101,1.0432049657987514,2.5738775844889004,8.283185307179584,0.0664052193468698,1.0,1.0,0.07728431837052832,3.9313570540558276,1.6396551713136673,0.0016461556695835378,1.3923594861756818,2.3091240041763355,8.283185307179584,0.05273420331831906,1.0,1.0,0.29851655899871615,1.3005162515127657,1.6846115349883046,-0.0856241903712705,1.9480894443040948,1.8709202188023437,8.283185307179584,0.06685381894346554,1.0,1.0,0.11273243138192776,3.1540415441785106,1.7419285784524476,-0.05766572929225985,1.494420220475336,1.8647541341088103,8.283185307179584,0.06298235244626085,1.0,1.0,0.06130698469488735,4.661161945810429
