alpha,H,He,Ca,S,Ca_1,S_1,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.822E-04,8.804E-03,8.253E-03,6.420E-01,1.774E+00,2.395E-02,1.246E+00,1.666E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.203E-01,2.563E+00,1.812E+00,-8.059E-03,1.407E+00,1.341E+00,4.935E+00,2.595E-03,1.000E+00,1.000E+00,1.082E-01,2.913E+00
1.000E+00,0.000E+00,0.000E+00,0.000E+00,7.708E-04,8.855E-03,8.285E-03,6.448E-01,1.766E+00,1.691E-02,1.270E+00,1.675E+00,4.935E+00,6.910E-03,1.000E+00,1.000E+00,1.203E-01,2.564E+00,1.804E+00,-1.694E-02,1.444E+00,1.384E+00,4.935E+00,1.121E-02,1.000E+00,1.000E+00,1.079E-01,2.920E+00
2.000E+00,0.000E+00,0.000E+00,0.000E+00,7.593E-04,8.906E-03,8.318E-03,6.476E-01,1.759E+00,9.873E-03,1.294E+00,1.684E+00,4.935E+00,1.382E-02,1.000E+00,1.000E+00,1.203E-01,2.564E+00,1.796E+00,-2.582E-02,1.481E+00,1.427E+00,4.935E+00,1.983E-02,1.000E+00,1.000E+00,1.076E-01,2.927E+00
3.000E+00,0.000E+00,0.000E+00,0.000E+00,7.478E-04,8.957E-03,8.350E-03,6.504E-01,1.751E+00,2.834E-03,1.319E+00,1.693E+00,4.935E+00,2.073E-02,1.000E+00,1.000E+00,1.203E-01,2.565E+00,1.789E+00,-3.470E-02,1.518E+00,1.470E+00,4.935E+00,2.844E-02,1.000E+00,1.000E+00,1.073E-01,2.934E+00
4.000E+00,0.000E+00,0.000E+00,0.000E+00,7.421E-04,8.983E-03,8.366E-03,6.518E-01,1.748E+00,-6.860E-04,1.331E+00,1.697E+00,4.935E+00,2.418E-02,1.000E+00,1.000E+00,1.202E-01,2.565E+00,1.785E+00,-3.914E-02,1.536E+00,1.492E+00,4.935E+00,3.275E-02,1.000E+00,1.000E+00,1.071E-01,2.937E+00
5.000E+00,0.000E+00,0.000E+00,0.000E+00,7.363E-04,9.008E-03,8.382E-03,6.533E-01,1.748E+00,-4.206E-03,1.343E+00,1.702E+00,4.935E+00,2.764E-02,1.000E+00,1.000E+00,1.202E-01,2.565E+00,1.782E+00,-4.358E-02,1.555E+00,1.513E+00,4.935E+00,3.706E-02,1.000E+00,1.000E+00,1.069E-01,2.941E+00
6.000E+00,0.000E+00,0.000E+00,0.000E+00,7.249E-04,9.059E-03,8.415E-03,6.561E-01,1.749E+00,-1.124E-02,1.367E+00,1.711E+00,4.935E+00,3.455E-02,1.000E+00,1.000E+00,1.202E-01,2.566E+00,1.774E+00,-5.246E-02,1.591E+00,1.557E+00,4.935E+00,4.567E-02,1.000E+00,1.000E+00,1.066E-01,2.948E+00
7.000E+00,0.000E+00,0.000E+00,0.000E+00,7.134E-04,9.111E-03,8.447E-03,6.589E-01,1.749E+00,-1.828E-02,1.391E+00,1.720E+00,4.935E+00,4.146E-02,1.000E+00,1.000E+00,1.202E-01,2.566E+00,1.768E+00,-6.134E-02,1.628E+00,1.600E+00,4.935E+00,5.429E-02,1.000E+00,1.000E+00,1.063E-01,2.955E+00
8.000E+00,0.000E+00,0.000E+00,0.000E+00,7.019E-04,9.162E-03,8.479E-03,6.617E-01,1.750E+00,-2.532E-02,1.415E+00,1.729E+00,4.935E+00,4.837E-02,1.000E+00,1.000E+00,1.201E-01,2.567E+00,1.761E+00,-7.022E-02,1.665E+00,1.643E+00,4.935E+00,6.290E-02,1.000E+00,1.000E+00,1.060E-01,2.962E+00
9.000E+00,0.000E+00,0.000E+00,0.000E+00,6.962E-04,9.187E-03,8.496E-03,6.631E-01,1.750E+00,-2.884E-02,1.428E+00,1.734E+00,4.935E+00,5.182E-02,1.000E+00,1.000E+00,1.201E-01,2.567E+00,1.758E+00,-7.466E-02,1.683E+00,1.665E+00,4.935E+00,6.721E-02,1.000E+00,1.000E+00,1.058E-01,2.965E+00
