alpha,H,He,K,Al,Si,O,K_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_K,thetaTilt_K,thetaM_K,thetaN_K,3dK_K,3dTilt_K,3dM_K,3dN_K,energyK_K,energyE_K,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,1.090E-03,0.000E+00,1.961E-03,0.000E+00,0.000E+00,0.000E+00,1.256E-03,5.558E-03,1.138E-03,2.647E-03,2.947E-01,1.867E+00,2.391E-02,1.288E+00,1.189E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,7.354E-02,4.087E+00,1.851E+00,-3.658E-02,1.692E+00,1.095E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,3.448E-01,1.077E+00,1.715E+00,3.509E-03,1.549E+00,1.618E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.122E-01,3.166E+00,1.833E+00,2.728E-02,1.172E+00,1.464E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,5.996E-02,4.740E+00
1.000E+00,0.000E+00,0.000E+00,1.090E-03,0.000E+00,1.959E-03,0.000E+00,0.000E+00,0.000E+00,1.271E-03,5.596E-03,1.133E-03,2.668E-03,2.960E-01,1.847E+00,9.832E-03,1.345E+00,1.216E+00,4.935E+00,7.971E-03,1.000E+00,1.000E+00,7.332E-02,4.096E+00,1.831E+00,-4.596E-02,1.752E+00,1.162E+00,4.935E+00,7.801E-03,1.000E+00,1.000E+00,3.460E-01,1.073E+00,1.708E+00,-2.658E-03,1.561E+00,1.654E+00,4.935E+00,7.297E-03,1.000E+00,1.000E+00,1.118E-01,3.177E+00,1.808E+00,1.668E-02,1.216E+00,1.530E+00,4.935E+00,8.747E-03,1.000E+00,1.000E+00,5.997E-02,4.740E+00
2.000E+00,0.000E+00,0.000E+00,1.090E-03,0.000E+00,1.958E-03,0.000E+00,0.000E+00,0.000E+00,1.286E-03,5.634E-03,1.129E-03,2.688E-03,2.973E-01,1.832E+00,-4.243E-03,1.403E+00,1.243E+00,4.935E+00,1.594E-02,1.000E+00,1.000E+00,7.310E-02,4.106E+00,1.813E+00,-5.534E-02,1.813E+00,1.229E+00,4.935E+00,1.560E-02,1.000E+00,1.000E+00,3.472E-01,1.070E+00,1.706E+00,-8.824E-03,1.573E+00,1.691E+00,4.935E+00,1.459E-02,1.000E+00,1.000E+00,1.113E-01,3.188E+00,1.783E+00,6.094E-03,1.260E+00,1.595E+00,4.935E+00,1.749E-02,1.000E+00,1.000E+00,5.998E-02,4.739E+00
3.000E+00,0.000E+00,0.000E+00,1.091E-03,0.000E+00,1.957E-03,0.000E+00,0.000E+00,0.000E+00,1.302E-03,5.672E-03,1.125E-03,2.708E-03,2.985E-01,1.829E+00,-1.832E-02,1.460E+00,1.270E+00,4.935E+00,2.391E-02,1.000E+00,1.000E+00,7.288E-02,4.116E+00,1.795E+00,-6.471E-02,1.874E+00,1.296E+00,4.935E+00,2.340E-02,1.000E+00,1.000E+00,3.483E-01,1.067E+00,1.703E+00,-1.499E-02,1.584E+00,1.728E+00,4.935E+00,2.189E-02,1.000E+00,1.000E+00,1.109E-01,3.199E+00,1.765E+00,-4.498E-03,1.304E+00,1.661E+00,4.935E+00,2.624E-02,1.000E+00,1.000E+00,5.998E-02,4.739E+00
4.000E+00,0.000E+00,0.000E+00,1.091E-03,0.000E+00,1.956E-03,0.000E+00,0.000E+00,0.000E+00,1.309E-03,5.691E-03,1.123E-03,2.718E-03,2.991E-01,1.828E+00,-2.536E-02,1.489E+00,1.284E+00,4.935E+00,2.790E-02,1.000E+00,1.000E+00,7.277E-02,4.121E+00,1.787E+00,-6.940E-02,1.904E+00,1.329E+00,4.935E+00,2.730E-02,1.000E+00,1.000E+00,3.489E-01,1.066E+00,1.702E+00,-1.807E-02,1.590E+00,1.746E+00,4.935E+00,2.554E-02,1.000E+00,1.000E+00,1.107E-01,3.204E+00,1.760E+00,-9.793E-03,1.326E+00,1.694E+00,4.935E+00,3.061E-02,1.000E+00,1.000E+00,5.999E-02,4.739E+00
5.000E+00,0.000E+00,0.000E+00,1.091E-03,0.000E+00,1.955E-03,0.000E+00,0.000E+00,0.000E+00,1.317E-03,5.710E-03,1.121E-03,2.728E-03,2.998E-01,1.826E+00,-3.239E-02,1.518E+00,1.297E+00,4.935E+00,3.189E-02,1.000E+00,1.000E+00,7.266E-02,4.126E+00,1.778E+00,-7.409E-02,1.934E+00,1.363E+00,4.935E+00,3.120E-02,1.000E+00,1.000E+00,3.495E-01,1.064E+00,1.701E+00,-2.116E-02,1.596E+00,1.764E+00,4.935E+00,2.919E-02,1.000E+00,1.000E+00,1.105E-01,3.209E+00,1.754E+00,-1.509E-02,1.348E+00,1.727E+00,4.935E+00,3.499E-02,1.000E+00,1.000E+00,5.999E-02,4.738E+00
6.000E+00,0.000E+00,0.000E+00,1.091E-03,0.000E+00,1.954E-03,0.000E+00,0.000E+00,0.000E+00,1.332E-03,5.749E-03,1.116E-03,2.748E-03,3.010E-01,1.823E+00,-4.647E-02,1.576E+00,1.324E+00,4.935E+00,3.986E-02,1.000E+00,1.000E+00,7.244E-02,4.135E+00,1.763E+00,-8.346E-02,1.995E+00,1.430E+00,4.935E+00,3.900E-02,1.000E+00,1.000E+00,3.507E-01,1.061E+00,1.699E+00,-2.732E-02,1.608E+00,1.801E+00,4.935E+00,3.648E-02,1.000E+00,1.000E+00,1.100E-01,3.220E+00,1.744E+00,-2.568E-02,1.392E+00,1.793E+00,4.935E+00,4.373E-02,1.000E+00,1.000E+00,6.000E-02,4.738E+00
7.000E+00,0.000E+00,0.000E+00,1.091E-03,0.000E+00,1.952E-03,0.000E+00,0.000E+00,0.000E+00,1.347E-03,5.787E-03,1.112E-03,2.768E-03,3.023E-01,1.820E+00,-6.055E-02,1.633E+00,1.352E+00,4.935E+00,4.783E-02,1.000E+00,1.000E+00,7.222E-02,4.145E+00,1.748E+00,-9.284E-02,2.056E+00,1.497E+00,4.935E+00,4.680E-02,1.000E+00,1.000E+00,3.518E-01,1.058E+00,1.696E+00,-3.349E-02,1.620E+00,1.838E+00,4.935E+00,4.378E-02,1.000E+00,1.000E+00,1.096E-01,3.231E+00,1.734E+00,-3.627E-02,1.436E+00,1.859E+00,4.935E+00,5.248E-02,1.000E+00,1.000E+00,6.001E-02,4.737E+00
8.000E+00,0.000E+00,0.000E+00,1.092E-03,0.000E+00,1.951E-03,0.000E+00,0.000E+00,0.000E+00,1.363E-03,5.825E-03,1.108E-03,2.788E-03,3.036E-01,1.818E+00,-7.462E-02,1.691E+00,1.379E+00,4.935E+00,5.580E-02,1.000E+00,1.000E+00,7.200E-02,4.155E+00,1.733E+00,-1.022E-01,2.116E+00,1.564E+00,4.935E+00,5.460E-02,1.000E+00,1.000E+00,3.530E-01,1.055E+00,1.694E+00,-3.966E-02,1.632E+00,1.874E+00,4.935E+00,5.108E-02,1.000E+00,1.000E+00,1.091E-01,3.242E+00,1.724E+00,-4.686E-02,1.480E+00,1.925E+00,4.935E+00,6.123E-02,1.000E+00,1.000E+00,6.002E-02,4.737E+00
9.000E+00,0.000E+00,0.000E+00,1.092E-03,0.000E+00,1.950E-03,0.000E+00,0.000E+00,0.000E+00,1.370E-03,5.844E-03,1.106E-03,2.799E-03,3.042E-01,1.816E+00,-8.166E-02,1.720E+00,1.392E+00,4.935E+00,5.978E-02,1.000E+00,1.000E+00,7.189E-02,4.160E+00,1.727E+00,-1.069E-01,2.147E+00,1.597E+00,4.935E+00,5.850E-02,1.000E+00,1.000E+00,3.536E-01,1.053E+00,1.693E+00,-4.274E-02,1.638E+00,1.893E+00,4.935E+00,5.472E-02,1.000E+00,1.000E+00,1.089E-01,3.247E+00,1.719E+00,-5.216E-02,1.502E+00,1.958E+00,4.935E+00,6.560E-02,1.000E+00,1.000E+00,6.002E-02,4.737E+00
