alpha,H,He,Si,O,Si_1,O_1,amu/ion,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,2.613E-03,0.000E+00,1.894E-03,8.346E-03,2.601E-01,1.685E+00,-9.620E-03,1.670E+00,1.706E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.121E-01,3.170E+00,1.797E+00,-8.659E-03,1.414E+00,1.402E+00,4.935E+00,4.219E-03,1.000E+00,1.000E+00,6.164E-02,4.642E+00
1.000E+00,0.000E+00,0.000E+00,2.617E-03,0.000E+00,1.918E-03,8.392E-03,2.617E-01,1.689E+00,-2.098E-02,1.712E+00,1.707E+00,4.935E+00,9.058E-03,1.000E+00,1.000E+00,1.121E-01,3.169E+00,1.792E+00,-1.956E-02,1.452E+00,1.441E+00,4.935E+00,1.337E-02,1.000E+00,1.000E+00,6.145E-02,4.653E+00
2.000E+00,0.000E+00,0.000E+00,2.621E-03,0.000E+00,1.942E-03,8.438E-03,2.632E-01,1.693E+00,-3.234E-02,1.755E+00,1.707E+00,4.935E+00,1.812E-02,1.000E+00,1.000E+00,1.122E-01,3.167E+00,1.788E+00,-3.045E-02,1.491E+00,1.481E+00,4.935E+00,2.252E-02,1.000E+00,1.000E+00,6.125E-02,4.665E+00
3.000E+00,0.000E+00,0.000E+00,2.625E-03,0.000E+00,1.967E-03,8.484E-03,2.647E-01,1.697E+00,-4.371E-02,1.798E+00,1.708E+00,4.935E+00,2.717E-02,1.000E+00,1.000E+00,1.122E-01,3.166E+00,1.783E+00,-4.135E-02,1.529E+00,1.521E+00,4.935E+00,3.167E-02,1.000E+00,1.000E+00,6.106E-02,4.676E+00
4.000E+00,0.000E+00,0.000E+00,2.627E-03,0.000E+00,1.979E-03,8.508E-03,2.655E-01,1.699E+00,-4.939E-02,1.820E+00,1.709E+00,4.935E+00,3.170E-02,1.000E+00,1.000E+00,1.122E-01,3.166E+00,1.780E+00,-4.680E-02,1.548E+00,1.541E+00,4.935E+00,3.625E-02,1.000E+00,1.000E+00,6.096E-02,4.682E+00
5.000E+00,0.000E+00,0.000E+00,2.629E-03,0.000E+00,1.991E-03,8.531E-03,2.662E-01,1.701E+00,-5.507E-02,1.841E+00,1.709E+00,4.935E+00,3.623E-02,1.000E+00,1.000E+00,1.123E-01,3.165E+00,1.778E+00,-5.224E-02,1.568E+00,1.561E+00,4.935E+00,4.083E-02,1.000E+00,1.000E+00,6.086E-02,4.687E+00
6.000E+00,0.000E+00,0.000E+00,2.633E-03,0.000E+00,2.016E-03,8.577E-03,2.678E-01,1.705E+00,-6.643E-02,1.884E+00,1.710E+00,4.935E+00,4.529E-02,1.000E+00,1.000E+00,1.123E-01,3.164E+00,1.774E+00,-6.314E-02,1.606E+00,1.600E+00,4.935E+00,4.998E-02,1.000E+00,1.000E+00,6.067E-02,4.699E+00
7.000E+00,0.000E+00,0.000E+00,2.637E-03,0.000E+00,2.040E-03,8.623E-03,2.693E-01,1.709E+00,-7.779E-02,1.927E+00,1.711E+00,4.935E+00,5.435E-02,1.000E+00,1.000E+00,1.123E-01,3.163E+00,1.769E+00,-7.404E-02,1.645E+00,1.640E+00,4.935E+00,5.913E-02,1.000E+00,1.000E+00,6.047E-02,4.710E+00
8.000E+00,0.000E+00,0.000E+00,2.641E-03,0.000E+00,2.064E-03,8.670E-03,2.708E-01,1.713E+00,-8.915E-02,1.970E+00,1.712E+00,4.935E+00,6.341E-02,1.000E+00,1.000E+00,1.124E-01,3.162E+00,1.765E+00,-8.493E-02,1.683E+00,1.680E+00,4.935E+00,6.828E-02,1.000E+00,1.000E+00,6.027E-02,4.722E+00
9.000E+00,0.000E+00,0.000E+00,2.643E-03,0.000E+00,2.077E-03,8.693E-03,2.716E-01,1.715E+00,-9.483E-02,1.992E+00,1.712E+00,4.935E+00,6.794E-02,1.000E+00,1.000E+00,1.124E-01,3.161E+00,1.763E+00,-9.038E-02,1.702E+00,1.700E+00,4.935E+00,7.286E-02,1.000E+00,1.000E+00,6.018E-02,4.727E+00
1.000E+01,0.000E+00,0.000E+00,2.645E-03,0.000E+00,2.089E-03,8.716E-03,2.723E-01,1.717E+00,-1.005E-01,2.013E+00,1.713E+00,4.935E+00,7.247E-02,1.000E+00,1.000E+00,1.124E-01,3.161E+00,1.761E+00,-9.583E-02,1.722E+00,1.720E+00,4.935E+00,7.743E-02,1.000E+00,1.000E+00,6.008E-02,4.733E+00
