alpha,H,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O
0.000E+00,0.000E+00,0.000E+00,2.758E-03,3.828E-04,0.000E+00,0.000E+00,0.000E+00,5.360E-03,1.117E-02,4.014E-01,1.700E+00,1.057E-02,1.438E+00,1.829E+00,4.935E+00,1.222E-02,1.000E+00,1.000E+00,8.670E-02,3.591E+00,1.662E+00,1.055E-02,1.532E+00,1.947E+00,4.935E+00,4.085E-03,1.000E+00,1.000E+00,2.112E-01,1.747E+00,1.704E+00,1.654E-02,1.548E+00,1.678E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.211E-01,2.968E+00
1.000E+00,0.000E+00,0.000E+00,2.776E-03,3.885E-04,0.000E+00,0.000E+00,2.441E-07,5.401E-03,1.127E-02,4.045E-01,1.694E+00,-2.465E-03,1.500E+00,1.799E+00,4.935E+00,1.804E-02,1.000E+00,1.000E+00,8.710E-02,3.578E+00,1.655E+00,-7.557E-03,1.643E+00,1.901E+00,4.935E+00,1.148E-02,1.000E+00,1.000E+00,2.107E-01,1.750E+00,1.686E+00,4.089E-03,1.612E+00,1.706E+00,4.935E+00,8.102E-03,1.000E+00,1.000E+00,1.213E-01,2.964E+00
2.000E+00,0.000E+00,0.000E+00,2.794E-03,3.943E-04,0.000E+00,0.000E+00,4.883E-07,5.441E-03,1.136E-02,4.076E-01,1.701E+00,-1.550E-02,1.563E+00,1.769E+00,4.935E+00,2.386E-02,1.000E+00,1.000E+00,8.750E-02,3.565E+00,1.661E+00,-2.567E-02,1.754E+00,1.854E+00,4.935E+00,1.888E-02,1.000E+00,1.000E+00,2.103E-01,1.753E+00,1.678E+00,-8.361E-03,1.675E+00,1.735E+00,4.935E+00,1.620E-02,1.000E+00,1.000E+00,1.215E-01,2.960E+00
3.000E+00,0.000E+00,0.000E+00,2.813E-03,4.000E-04,0.000E+00,0.000E+00,7.324E-07,5.482E-03,1.146E-02,4.108E-01,1.708E+00,-2.853E-02,1.625E+00,1.738E+00,4.935E+00,2.968E-02,1.000E+00,1.000E+00,8.790E-02,3.553E+00,1.668E+00,-4.378E-02,1.865E+00,1.808E+00,4.935E+00,2.627E-02,1.000E+00,1.000E+00,2.099E-01,1.756E+00,1.674E+00,-2.081E-02,1.739E+00,1.763E+00,4.935E+00,2.431E-02,1.000E+00,1.000E+00,1.217E-01,2.956E+00
4.000E+00,0.000E+00,0.000E+00,2.822E-03,4.029E-04,0.000E+00,0.000E+00,8.545E-07,5.502E-03,1.151E-02,4.124E-01,1.711E+00,-3.504E-02,1.656E+00,1.723E+00,4.935E+00,3.259E-02,1.000E+00,1.000E+00,8.810E-02,3.546E+00,1.672E+00,-5.283E-02,1.921E+00,1.784E+00,4.935E+00,2.997E-02,1.000E+00,1.000E+00,2.096E-01,1.758E+00,1.672E+00,-2.704E-02,1.771E+00,1.777E+00,4.935E+00,2.836E-02,1.000E+00,1.000E+00,1.218E-01,2.955E+00
5.000E+00,0.000E+00,0.000E+00,2.831E-03,4.058E-04,0.000E+00,0.000E+00,9.766E-07,5.522E-03,1.156E-02,4.139E-01,1.715E+00,-4.156E-02,1.687E+00,1.708E+00,4.935E+00,3.550E-02,1.000E+00,1.000E+00,8.829E-02,3.540E+00,1.676E+00,-6.189E-02,1.977E+00,1.761E+00,4.935E+00,3.367E-02,1.000E+00,1.000E+00,2.094E-01,1.760E+00,1.671E+00,-3.326E-02,1.802E+00,1.791E+00,4.935E+00,3.241E-02,1.000E+00,1.000E+00,1.219E-01,2.953E+00
6.000E+00,0.000E+00,0.000E+00,2.849E-03,4.115E-04,0.000E+00,0.000E+00,1.221E-06,5.562E-03,1.165E-02,4.171E-01,1.723E+00,-5.459E-02,1.749E+00,1.678E+00,4.935E+00,4.132E-02,1.000E+00,1.000E+00,8.869E-02,3.527E+00,1.686E+00,-8.000E-02,2.088E+00,1.715E+00,4.935E+00,4.106E-02,1.000E+00,1.000E+00,2.090E-01,1.763E+00,1.668E+00,-4.571E-02,1.866E+00,1.819E+00,4.935E+00,4.051E-02,1.000E+00,1.000E+00,1.221E-01,2.949E+00
7.000E+00,0.000E+00,0.000E+00,2.868E-03,4.172E-04,0.000E+00,0.000E+00,1.465E-06,5.603E-03,1.175E-02,4.202E-01,1.731E+00,-6.762E-02,1.812E+00,1.648E+00,4.935E+00,4.714E-02,1.000E+00,1.000E+00,8.909E-02,3.515E+00,1.696E+00,-9.811E-02,2.199E+00,1.668E+00,4.935E+00,4.846E-02,1.000E+00,1.000E+00,2.086E-01,1.766E+00,1.665E+00,-5.816E-02,1.929E+00,1.848E+00,4.935E+00,4.861E-02,1.000E+00,1.000E+00,1.222E-01,2.945E+00
8.000E+00,0.000E+00,0.000E+00,2.886E-03,4.230E-04,0.000E+00,0.000E+00,1.709E-06,5.643E-03,1.185E-02,4.234E-01,1.739E+00,-8.065E-02,1.874E+00,1.618E+00,4.935E+00,5.296E-02,1.000E+00,1.000E+00,8.949E-02,3.502E+00,1.708E+00,-1.162E-01,2.311E+00,1.622E+00,4.935E+00,5.586E-02,1.000E+00,1.000E+00,2.081E-01,1.769E+00,1.662E+00,-7.061E-02,1.993E+00,1.876E+00,4.935E+00,5.672E-02,1.000E+00,1.000E+00,1.224E-01,2.941E+00
9.000E+00,0.000E+00,0.000E+00,2.895E-03,4.258E-04,0.000E+00,0.000E+00,1.831E-06,5.663E-03,1.190E-02,4.249E-01,1.743E+00,-8.717E-02,1.905E+00,1.603E+00,4.935E+00,5.587E-02,1.000E+00,1.000E+00,8.969E-02,3.496E+00,1.714E+00,-1.253E-01,2.366E+00,1.599E+00,4.935E+00,5.955E-02,1.000E+00,1.000E+00,2.079E-01,1.770E+00,1.661E+00,-7.683E-02,2.025E+00,1.890E+00,4.935E+00,6.077E-02,1.000E+00,1.000E+00,1.225E-01,2.939E+00
