alpha,H,He,Fe,S,Fe_1,S_1,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.000E+00,0.000E+00,0.000E+00,5.257E-03,0.000E+00,5.320E-03,1.081E-02,9.381E-01,1.763E+00,-6.212E-04,1.401E+00,1.536E+00,4.935E+00,3.261E-03,1.000E+00,1.000E+00,6.665E-02,3.686E+00,1.707E+00,1.028E-02,1.477E+00,1.741E+00,4.935E+00,4.358E-04,1.000E+00,1.000E+00,1.319E-01,2.484E+00
1.000E+00,0.000E+00,0.000E+00,5.272E-03,0.000E+00,5.364E-03,1.086E-02,9.429E-01,1.757E+00,-1.715E-03,1.392E+00,1.582E+00,4.935E+00,7.828E-03,1.000E+00,1.000E+00,6.643E-02,3.695E+00,1.699E+00,1.991E-03,1.519E+00,1.736E+00,4.935E+00,5.319E-03,1.000E+00,1.000E+00,1.319E-01,2.484E+00
2.000E+00,0.000E+00,0.000E+00,5.288E-03,0.000E+00,5.407E-03,1.091E-02,9.476E-01,1.751E+00,-2.809E-03,1.383E+00,1.628E+00,4.935E+00,1.240E-02,1.000E+00,1.000E+00,6.622E-02,3.704E+00,1.698E+00,-6.297E-03,1.560E+00,1.730E+00,4.935E+00,1.020E-02,1.000E+00,1.000E+00,1.319E-01,2.484E+00
3.000E+00,0.000E+00,0.000E+00,5.304E-03,0.000E+00,5.451E-03,1.096E-02,9.524E-01,1.745E+00,-3.904E-03,1.375E+00,1.674E+00,4.935E+00,1.696E-02,1.000E+00,1.000E+00,6.601E-02,3.712E+00,1.700E+00,-1.459E-02,1.602E+00,1.725E+00,4.935E+00,1.509E-02,1.000E+00,1.000E+00,1.319E-01,2.484E+00
4.000E+00,0.000E+00,0.000E+00,5.312E-03,0.000E+00,5.473E-03,1.099E-02,9.547E-01,1.743E+00,-4.451E-03,1.370E+00,1.698E+00,4.935E+00,1.925E-02,1.000E+00,1.000E+00,6.590E-02,3.716E+00,1.701E+00,-1.873E-02,1.622E+00,1.722E+00,4.935E+00,1.753E-02,1.000E+00,1.000E+00,1.319E-01,2.484E+00
5.000E+00,0.000E+00,0.000E+00,5.319E-03,0.000E+00,5.495E-03,1.101E-02,9.571E-01,1.740E+00,-4.998E-03,1.366E+00,1.721E+00,4.935E+00,2.153E-02,1.000E+00,1.000E+00,6.579E-02,3.721E+00,1.702E+00,-2.287E-02,1.643E+00,1.720E+00,4.935E+00,1.997E-02,1.000E+00,1.000E+00,1.319E-01,2.484E+00
6.000E+00,0.000E+00,0.000E+00,5.335E-03,0.000E+00,5.538E-03,1.106E-02,9.619E-01,1.735E+00,-6.092E-03,1.357E+00,1.767E+00,4.935E+00,2.610E-02,1.000E+00,1.000E+00,6.558E-02,3.729E+00,1.703E+00,-3.116E-02,1.685E+00,1.715E+00,4.935E+00,2.485E-02,1.000E+00,1.000E+00,1.319E-01,2.485E+00
7.000E+00,0.000E+00,0.000E+00,5.351E-03,0.000E+00,5.582E-03,1.111E-02,9.666E-01,1.730E+00,-7.186E-03,1.348E+00,1.813E+00,4.935E+00,3.067E-02,1.000E+00,1.000E+00,6.536E-02,3.738E+00,1.705E+00,-3.945E-02,1.726E+00,1.709E+00,4.935E+00,2.973E-02,1.000E+00,1.000E+00,1.319E-01,2.485E+00
8.000E+00,0.000E+00,0.000E+00,5.366E-03,0.000E+00,5.625E-03,1.116E-02,9.713E-01,1.726E+00,-8.280E-03,1.339E+00,1.860E+00,4.935E+00,3.523E-02,1.000E+00,1.000E+00,6.515E-02,3.746E+00,1.707E+00,-4.774E-02,1.768E+00,1.704E+00,4.935E+00,3.462E-02,1.000E+00,1.000E+00,1.318E-01,2.485E+00
9.000E+00,0.000E+00,0.000E+00,5.374E-03,0.000E+00,5.647E-03,1.119E-02,9.737E-01,1.724E+00,-8.827E-03,1.335E+00,1.883E+00,4.935E+00,3.752E-02,1.000E+00,1.000E+00,6.504E-02,3.751E+00,1.709E+00,-5.188E-02,1.789E+00,1.701E+00,4.935E+00,3.706E-02,1.000E+00,1.000E+00,1.318E-01,2.485E+00
1.000E+01,0.000E+00,0.000E+00,5.382E-03,0.000E+00,5.669E-03,1.121E-02,9.761E-01,1.722E+00,-9.374E-03,1.330E+00,1.906E+00,4.935E+00,3.980E-02,1.000E+00,1.000E+00,6.493E-02,3.755E+00,1.710E+00,-5.602E-02,1.809E+00,1.699E+00,4.935E+00,3.950E-02,1.000E+00,1.000E+00,1.318E-01,2.485E+00
1.100E+01,0.000E+00,0.000E+00,5.493E-03,0.000E+00,5.727E-03,1.135E-02,9.899E-01,1.724E+00,-2.474E-02,1.418E+00,1.870E+00,4.935E+00,4.551E-02,1.000E+00,1.000E+00,6.490E-02,3.756E+00,1.704E+00,-5.548E-02,1.783E+00,1.750E+00,4.935E+00,4.459E-02,1.000E+00,1.000E+00,1.315E-01,2.490E+00
1.200E+01,0.000E+00,0.000E+00,5.604E-03,0.000E+00,5.785E-03,1.149E-02,1.004E+00,1.727E+00,-4.010E-02,1.506E+00,1.834E+00,4.935E+00,5.121E-02,1.000E+00,1.000E+00,6.486E-02,3.758E+00,1.699E+00,-5.493E-02,1.757E+00,1.801E+00,4.935E+00,4.968E-02,1.000E+00,1.000E+00,1.311E-01,2.496E+00
1.300E+01,0.000E+00,0.000E+00,5.716E-03,0.000E+00,5.843E-03,1.162E-02,1.018E+00,1.731E+00,-5.546E-02,1.594E+00,1.798E+00,4.935E+00,5.691E-02,1.000E+00,1.000E+00,6.483E-02,3.759E+00,1.694E+00,-5.439E-02,1.730E+00,1.852E+00,4.935E+00,5.477E-02,1.000E+00,1.000E+00,1.308E-01,2.501E+00
1.400E+01,0.000E+00,0.000E+00,5.771E-03,0.000E+00,5.872E-03,1.169E-02,1.025E+00,1.733E+00,-6.314E-02,1.638E+00,1.780E+00,4.935E+00,5.977E-02,1.000E+00,1.000E+00,6.481E-02,3.760E+00,1.692E+00,-5.411E-02,1.717E+00,1.878E+00,4.935E+00,5.732E-02,1.000E+00,1.000E+00,1.306E-01,2.504E+00
1.500E+01,0.000E+00,0.000E+00,5.827E-03,0.000E+00,5.901E-03,1.176E-02,1.032E+00,1.736E+00,-7.083E-02,1.682E+00,1.762E+00,4.935E+00,6.262E-02,1.000E+00,1.000E+00,6.479E-02,3.761E+00,1.690E+00,-5.384E-02,1.704E+00,1.904E+00,4.935E+00,5.987E-02,1.000E+00,1.000E+00,1.304E-01,2.507E+00
1.600E+01,0.000E+00,0.000E+00,5.938E-03,0.000E+00,5.959E-03,1.190E-02,1.045E+00,1.742E+00,-8.619E-02,1.770E+00,1.725E+00,4.935E+00,6.832E-02,1.000E+00,1.000E+00,6.476E-02,3.762E+00,1.686E+00,-5.329E-02,1.678E+00,1.955E+00,4.935E+00,6.496E-02,1.000E+00,1.000E+00,1.301E-01,2.512E+00
1.700E+01,0.000E+00,0.000E+00,6.050E-03,0.000E+00,6.018E-03,1.203E-02,1.059E+00,1.748E+00,-1.016E-01,1.858E+00,1.689E+00,4.935E+00,7.403E-02,1.000E+00,1.000E+00,6.472E-02,3.764E+00,1.682E+00,-5.275E-02,1.651E+00,2.006E+00,4.935E+00,7.005E-02,1.000E+00,1.000E+00,1.297E-01,2.518E+00
1.800E+01,0.000E+00,0.000E+00,6.161E-03,0.000E+00,6.076E-03,1.217E-02,1.073E+00,1.755E+00,-1.169E-01,1.945E+00,1.653E+00,4.935E+00,7.973E-02,1.000E+00,1.000E+00,6.469E-02,3.765E+00,1.679E+00,-5.220E-02,1.625E+00,2.057E+00,4.935E+00,7.514E-02,1.000E+00,1.000E+00,1.294E-01,2.523E+00
1.900E+01,0.000E+00,0.000E+00,6.217E-03,0.000E+00,6.105E-03,1.224E-02,1.080E+00,1.759E+00,-1.246E-01,1.989E+00,1.635E+00,4.935E+00,8.258E-02,1.000E+00,1.000E+00,6.467E-02,3.766E+00,1.677E+00,-5.193E-02,1.612E+00,2.083E+00,4.935E+00,7.768E-02,1.000E+00,1.000E+00,1.292E-01,2.526E+00
2.000E+01,0.000E+00,0.000E+00,6.272E-03,0.000E+00,6.134E-03,1.230E-02,1.087E+00,1.763E+00,-1.323E-01,2.033E+00,1.617E+00,4.935E+00,8.544E-02,1.000E+00,1.000E+00,6.465E-02,3.766E+00,1.676E+00,-5.165E-02,1.599E+00,2.109E+00,4.935E+00,8.023E-02,1.000E+00,1.000E+00,1.290E-01,2.529E+00
2.100E+01,0.000E+00,0.000E+00,6.436E-03,0.000E+00,6.270E-03,1.261E-02,1.113E+00,1.769E+00,-1.408E-01,2.067E+00,1.604E+00,4.935E+00,9.131E-02,1.000E+00,1.000E+00,6.460E-02,3.768E+00,1.679E+00,-6.800E-02,1.701E+00,2.066E+00,4.935E+00,8.588E-02,1.000E+00,1.000E+00,1.287E-01,2.535E+00
