alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
0.000E+00,0.000E+00,0.000E+00,4.094E-03,0.000E+00,2.491E-03,6.532E-03,5.254E-01,1.745E+00,-2.326E-03,1.524E+00,1.504E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.208E-01,2.668E+00,1.824E+00,2.307E-02,1.165E+00,1.518E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,4.478E-02,5.084E+00
1.000E+00,0.000E+00,0.000E+00,4.099E-03,0.000E+00,2.516E-03,6.570E-03,5.280E-01,1.739E+00,-7.436E-03,1.535E+00,1.548E+00,4.935E+00,5.657E-03,1.000E+00,1.000E+00,1.206E-01,2.670E+00,1.814E+00,1.277E-02,1.211E+00,1.505E+00,4.935E+00,5.739E-03,1.000E+00,1.000E+00,4.488E-02,5.077E+00
2.000E+00,0.000E+00,0.000E+00,4.104E-03,0.000E+00,2.540E-03,6.609E-03,5.306E-01,1.734E+00,-1.255E-02,1.546E+00,1.592E+00,4.935E+00,1.131E-02,1.000E+00,1.000E+00,1.205E-01,2.672E+00,1.805E+00,2.472E-03,1.257E+00,1.492E+00,4.935E+00,1.148E-02,1.000E+00,1.000E+00,4.498E-02,5.069E+00
3.000E+00,0.000E+00,0.000E+00,4.109E-03,0.000E+00,2.564E-03,6.647E-03,5.332E-01,1.729E+00,-1.765E-02,1.557E+00,1.636E+00,4.935E+00,1.697E-02,1.000E+00,1.000E+00,1.204E-01,2.674E+00,1.806E+00,-7.829E-03,1.303E+00,1.478E+00,4.935E+00,1.722E-02,1.000E+00,1.000E+00,4.508E-02,5.061E+00
4.000E+00,0.000E+00,0.000E+00,4.111E-03,0.000E+00,2.577E-03,6.666E-03,5.345E-01,1.726E+00,-2.021E-02,1.562E+00,1.657E+00,4.935E+00,1.980E-02,1.000E+00,1.000E+00,1.204E-01,2.675E+00,1.807E+00,-1.298E-02,1.325E+00,1.472E+00,4.935E+00,2.009E-02,1.000E+00,1.000E+00,4.513E-02,5.057E+00
5.000E+00,0.000E+00,0.000E+00,4.114E-03,0.000E+00,2.589E-03,6.685E-03,5.358E-01,1.724E+00,-2.276E-02,1.568E+00,1.679E+00,4.935E+00,2.263E-02,1.000E+00,1.000E+00,1.203E-01,2.676E+00,1.809E+00,-1.813E-02,1.348E+00,1.465E+00,4.935E+00,2.295E-02,1.000E+00,1.000E+00,4.518E-02,5.053E+00
6.000E+00,0.000E+00,0.000E+00,4.119E-03,0.000E+00,2.613E-03,6.723E-03,5.384E-01,1.719E+00,-2.787E-02,1.579E+00,1.723E+00,4.935E+00,2.829E-02,1.000E+00,1.000E+00,1.202E-01,2.678E+00,1.813E+00,-2.843E-02,1.394E+00,1.452E+00,4.935E+00,2.869E-02,1.000E+00,1.000E+00,4.528E-02,5.046E+00
7.000E+00,0.000E+00,0.000E+00,4.124E-03,0.000E+00,2.638E-03,6.761E-03,5.410E-01,1.714E+00,-3.298E-02,1.590E+00,1.767E+00,4.935E+00,3.394E-02,1.000E+00,1.000E+00,1.201E-01,2.680E+00,1.817E+00,-3.873E-02,1.440E+00,1.438E+00,4.935E+00,3.443E-02,1.000E+00,1.000E+00,4.538E-02,5.038E+00
8.000E+00,0.000E+00,0.000E+00,4.129E-03,0.000E+00,2.662E-03,6.800E-03,5.436E-01,1.710E+00,-3.809E-02,1.601E+00,1.810E+00,4.935E+00,3.960E-02,1.000E+00,1.000E+00,1.199E-01,2.683E+00,1.821E+00,-4.903E-02,1.486E+00,1.425E+00,4.935E+00,4.017E-02,1.000E+00,1.000E+00,4.549E-02,5.030E+00
9.000E+00,0.000E+00,0.000E+00,4.131E-03,0.000E+00,2.674E-03,6.819E-03,5.449E-01,1.707E+00,-4.065E-02,1.606E+00,1.832E+00,4.935E+00,4.243E-02,1.000E+00,1.000E+00,1.199E-01,2.684E+00,1.823E+00,-5.419E-02,1.509E+00,1.418E+00,4.935E+00,4.304E-02,1.000E+00,1.000E+00,4.554E-02,5.026E+00
1.000E+01,0.000E+00,0.000E+00,4.134E-03,0.000E+00,2.687E-03,6.838E-03,5.462E-01,1.705E+00,-4.320E-02,1.612E+00,1.854E+00,4.935E+00,4.526E-02,1.000E+00,1.000E+00,1.198E-01,2.685E+00,1.825E+00,-5.934E-02,1.532E+00,1.412E+00,4.935E+00,4.591E-02,1.000E+00,1.000E+00,4.559E-02,5.022E+00
1.100E+01,0.000E+00,0.000E+00,4.224E-03,0.000E+00,2.700E-03,6.956E-03,5.550E-01,1.707E+00,-5.113E-02,1.647E+00,1.851E+00,4.935E+00,5.173E-02,1.000E+00,1.000E+00,1.197E-01,2.687E+00,1.823E+00,-6.962E-02,1.579E+00,1.425E+00,4.935E+00,5.274E-02,1.000E+00,1.000E+00,4.554E-02,5.026E+00
1.200E+01,0.000E+00,0.000E+00,4.314E-03,0.000E+00,2.713E-03,7.075E-03,5.638E-01,1.709E+00,-5.906E-02,1.682E+00,1.849E+00,4.935E+00,5.821E-02,1.000E+00,1.000E+00,1.196E-01,2.689E+00,1.821E+00,-7.991E-02,1.627E+00,1.438E+00,4.935E+00,5.956E-02,1.000E+00,1.000E+00,4.549E-02,5.030E+00
1.300E+01,0.000E+00,0.000E+00,4.404E-03,0.000E+00,2.726E-03,7.193E-03,5.726E-01,1.710E+00,-6.699E-02,1.718E+00,1.846E+00,4.935E+00,6.468E-02,1.000E+00,1.000E+00,1.195E-01,2.691E+00,1.820E+00,-9.019E-02,1.674E+00,1.452E+00,4.935E+00,6.639E-02,1.000E+00,1.000E+00,4.544E-02,5.034E+00
1.400E+01,0.000E+00,0.000E+00,4.449E-03,0.000E+00,2.732E-03,7.253E-03,5.770E-01,1.711E+00,-7.096E-02,1.735E+00,1.845E+00,4.935E+00,6.792E-02,1.000E+00,1.000E+00,1.194E-01,2.692E+00,1.819E+00,-9.534E-02,1.698E+00,1.459E+00,4.935E+00,6.980E-02,1.000E+00,1.000E+00,4.541E-02,5.036E+00
