alpha,H,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.659E-03,0.000E+00,2.707E-03,3.813E-03,9.453E-04,4.083E-03,3.073E-01,1.692E+00,2.501E-02,1.349E+00,2.013E+00,4.935E+00,9.255E-04,1.000E+00,1.000E+00,8.504E-02,3.354E+00,1.672E+00,1.657E-02,1.533E+00,1.880E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.071E-01,3.292E+00,1.719E+00,2.619E-02,1.286E+00,1.936E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,5.753E-02,4.891E+00
1.000E+00,0.000E+00,0.000E+00,0.000E+00,1.684E-03,0.000E+00,2.724E-03,3.869E-03,9.540E-04,4.111E-03,3.103E-01,1.684E+00,1.716E-02,1.375E+00,2.023E+00,4.935E+00,7.621E-03,1.000E+00,1.000E+00,8.513E-02,3.352E+00,1.660E+00,2.526E-03,1.601E+00,1.871E+00,4.935E+00,8.058E-03,1.000E+00,1.000E+00,1.070E-01,3.297E+00,1.717E+00,1.243E-02,1.339E+00,1.864E+00,4.935E+00,6.719E-03,1.000E+00,1.000E+00,5.799E-02,4.863E+00
2.000E+00,0.000E+00,0.000E+00,0.000E+00,1.708E-03,0.000E+00,2.741E-03,3.925E-03,9.626E-04,4.140E-03,3.133E-01,1.676E+00,9.308E-03,1.400E+00,2.033E+00,4.935E+00,1.432E-02,1.000E+00,1.000E+00,8.522E-02,3.349E+00,1.660E+00,-1.152E-02,1.669E+00,1.861E+00,4.935E+00,1.612E-02,1.000E+00,1.000E+00,1.068E-01,3.302E+00,1.718E+00,-1.323E-03,1.391E+00,1.792E+00,4.935E+00,1.344E-02,1.000E+00,1.000E+00,5.846E-02,4.835E+00
3.000E+00,0.000E+00,0.000E+00,0.000E+00,1.733E-03,0.000E+00,2.758E-03,3.981E-03,9.713E-04,4.168E-03,3.163E-01,1.669E+00,1.458E-03,1.426E+00,2.043E+00,4.935E+00,2.101E-02,1.000E+00,1.000E+00,8.531E-02,3.346E+00,1.664E+00,-2.556E-02,1.737E+00,1.851E+00,4.935E+00,2.418E-02,1.000E+00,1.000E+00,1.066E-01,3.306E+00,1.734E+00,-1.508E-02,1.444E+00,1.720E+00,4.935E+00,2.016E-02,1.000E+00,1.000E+00,5.892E-02,4.806E+00
4.000E+00,0.000E+00,0.000E+00,0.000E+00,1.745E-03,0.000E+00,2.767E-03,4.009E-03,9.756E-04,4.183E-03,3.178E-01,1.668E+00,-2.467E-03,1.439E+00,2.048E+00,4.935E+00,2.436E-02,1.000E+00,1.000E+00,8.536E-02,3.345E+00,1.666E+00,-3.258E-02,1.771E+00,1.846E+00,4.935E+00,2.820E-02,1.000E+00,1.000E+00,1.065E-01,3.309E+00,1.742E+00,-2.196E-02,1.471E+00,1.684E+00,4.935E+00,2.352E-02,1.000E+00,1.000E+00,5.916E-02,4.792E+00
5.000E+00,0.000E+00,0.000E+00,0.000E+00,1.758E-03,0.000E+00,2.775E-03,4.037E-03,9.800E-04,4.197E-03,3.193E-01,1.669E+00,-6.393E-03,1.451E+00,2.053E+00,4.935E+00,2.771E-02,1.000E+00,1.000E+00,8.540E-02,3.343E+00,1.668E+00,-3.960E-02,1.805E+00,1.841E+00,4.935E+00,3.223E-02,1.000E+00,1.000E+00,1.064E-01,3.311E+00,1.751E+00,-2.883E-02,1.497E+00,1.648E+00,4.935E+00,2.688E-02,1.000E+00,1.000E+00,5.939E-02,4.778E+00
6.000E+00,0.000E+00,0.000E+00,0.000E+00,1.782E-03,0.000E+00,2.792E-03,4.092E-03,9.886E-04,4.225E-03,3.222E-01,1.670E+00,-1.424E-02,1.477E+00,2.063E+00,4.935E+00,3.440E-02,1.000E+00,1.000E+00,8.549E-02,3.341E+00,1.672E+00,-5.365E-02,1.873E+00,1.831E+00,4.935E+00,4.029E-02,1.000E+00,1.000E+00,1.063E-01,3.315E+00,1.768E+00,-4.259E-02,1.550E+00,1.576E+00,4.935E+00,3.360E-02,1.000E+00,1.000E+00,5.986E-02,4.749E+00
7.000E+00,0.000E+00,0.000E+00,0.000E+00,1.807E-03,0.000E+00,2.810E-03,4.148E-03,9.973E-04,4.254E-03,3.252E-01,1.671E+00,-2.209E-02,1.502E+00,2.073E+00,4.935E+00,4.110E-02,1.000E+00,1.000E+00,8.558E-02,3.338E+00,1.677E+00,-6.769E-02,1.941E+00,1.822E+00,4.935E+00,4.835E-02,1.000E+00,1.000E+00,1.061E-01,3.320E+00,1.787E+00,-5.635E-02,1.603E+00,1.504E+00,4.935E+00,4.032E-02,1.000E+00,1.000E+00,6.032E-02,4.721E+00
8.000E+00,0.000E+00,0.000E+00,0.000E+00,1.832E-03,0.000E+00,2.827E-03,4.204E-03,1.006E-03,4.282E-03,3.282E-01,1.672E+00,-2.994E-02,1.528E+00,2.083E+00,4.935E+00,4.779E-02,1.000E+00,1.000E+00,8.568E-02,3.335E+00,1.682E+00,-8.173E-02,2.009E+00,1.812E+00,4.935E+00,5.641E-02,1.000E+00,1.000E+00,1.059E-01,3.325E+00,1.807E+00,-7.010E-02,1.656E+00,1.433E+00,4.935E+00,4.703E-02,1.000E+00,1.000E+00,6.079E-02,4.692E+00
9.000E+00,0.000E+00,0.000E+00,0.000E+00,1.844E-03,0.000E+00,2.835E-03,4.232E-03,1.010E-03,4.296E-03,3.297E-01,1.673E+00,-3.387E-02,1.541E+00,2.087E+00,4.935E+00,5.114E-02,1.000E+00,1.000E+00,8.572E-02,3.334E+00,1.684E+00,-8.875E-02,2.043E+00,1.807E+00,4.935E+00,6.044E-02,1.000E+00,1.000E+00,1.058E-01,3.327E+00,1.818E+00,-7.698E-02,1.682E+00,1.397E+00,4.935E+00,5.039E-02,1.000E+00,1.000E+00,6.102E-02,4.678E+00
