alpha,He,Fe,S,Fe_1,S_1,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.352E-01,5.137E-03,0.000E+00,0.000E+00,1.189E+01,1.817E+00,-1.095E-02,1.436E+00,1.310E+00,1.808E+00,-3.411E-03,2.406E+00,2.357E+00,1.249E-01,3.406E+00,1.494E+00,4.970E-02,1.840E+00,2.866E+00,1.490E+00,1.621E-04,2.946E+00,2.949E+00,2.035E-01,2.219E+00
1,0.000E+00,1.357E-01,5.157E-03,0.000E+00,0.000E+00,1.193E+01,1.816E+00,-2.200E-02,1.481E+00,1.324E+00,1.795E+00,-3.187E-03,2.400E+00,2.354E+00,1.249E-01,3.406E+00,1.490E+00,4.377E-02,1.881E+00,2.835E+00,1.488E+00,-5.992E-04,3.029E+00,3.014E+00,2.021E-01,2.233E+00
2,0.000E+00,1.362E-01,5.177E-03,0.000E+00,0.000E+00,1.197E+01,1.815E+00,-3.304E-02,1.527E+00,1.339E+00,1.783E+00,-2.963E-03,2.394E+00,2.351E+00,1.250E-01,3.405E+00,1.486E+00,3.784E-02,1.922E+00,2.804E+00,1.486E+00,-1.360E-03,3.112E+00,3.079E+00,2.008E-01,2.247E+00
3,0.000E+00,1.367E-01,5.198E-03,0.000E+00,0.000E+00,1.202E+01,1.814E+00,-4.408E-02,1.573E+00,1.354E+00,1.771E+00,-2.739E-03,2.388E+00,2.348E+00,1.250E-01,3.404E+00,1.482E+00,3.191E-02,1.964E+00,2.772E+00,1.484E+00,-2.122E-03,3.196E+00,3.144E+00,1.995E-01,2.262E+00
4,0.000E+00,1.370E-01,5.208E-03,0.000E+00,0.000E+00,1.204E+01,1.814E+00,-4.961E-02,1.595E+00,1.361E+00,1.764E+00,-2.627E-03,2.385E+00,2.347E+00,1.250E-01,3.404E+00,1.480E+00,2.894E-02,1.984E+00,2.756E+00,1.482E+00,-2.502E-03,3.237E+00,3.176E+00,1.989E-01,2.269E+00
5,0.000E+00,1.372E-01,5.218E-03,0.000E+00,0.000E+00,1.206E+01,1.813E+00,-5.513E-02,1.618E+00,1.369E+00,1.758E+00,-2.515E-03,2.382E+00,2.345E+00,1.250E-01,3.403E+00,1.478E+00,2.597E-02,2.005E+00,2.741E+00,1.481E+00,-2.883E-03,3.279E+00,3.209E+00,1.982E-01,2.276E+00
6,0.000E+00,1.377E-01,5.238E-03,0.000E+00,0.000E+00,1.210E+01,1.813E+00,-6.617E-02,1.664E+00,1.384E+00,1.746E+00,-2.291E-03,2.376E+00,2.343E+00,1.251E-01,3.403E+00,1.475E+00,2.004E-02,2.046E+00,2.709E+00,1.479E+00,-3.644E-03,3.362E+00,3.274E+00,1.969E-01,2.290E+00
7,0.000E+00,1.382E-01,5.259E-03,0.000E+00,0.000E+00,1.215E+01,1.812E+00,-7.722E-02,1.709E+00,1.398E+00,1.733E+00,-2.067E-03,2.369E+00,2.340E+00,1.251E-01,3.402E+00,1.472E+00,1.411E-02,2.087E+00,2.678E+00,1.477E+00,-4.406E-03,3.445E+00,3.339E+00,1.956E-01,2.305E+00
8,0.000E+00,1.387E-01,5.279E-03,0.000E+00,0.000E+00,1.219E+01,1.812E+00,-8.826E-02,1.755E+00,1.413E+00,1.721E+00,-1.843E-03,2.363E+00,2.337E+00,1.251E-01,3.401E+00,1.469E+00,8.179E-03,2.128E+00,2.647E+00,1.474E+00,-5.167E-03,3.528E+00,3.404E+00,1.943E-01,2.319E+00
9,0.000E+00,1.390E-01,5.289E-03,0.000E+00,0.000E+00,1.221E+01,1.812E+00,-9.378E-02,1.778E+00,1.421E+00,1.715E+00,-1.731E-03,2.360E+00,2.335E+00,1.251E-01,3.401E+00,1.468E+00,5.213E-03,2.149E+00,2.631E+00,1.473E+00,-5.548E-03,3.570E+00,3.436E+00,1.936E-01,2.326E+00
