alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,3dK_Mn,3dTilt_Mn,3dM_Mn,3dN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.000E+00,0.000E+00,0.000E+00,3.370E-02,3.262E-04,0.000E+00,0.000E+00,2.929E+00,1.755E+00,4.758E-03,1.446E+00,1.525E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.314E-01,2.240E+00,1.478E+00,7.371E-02,1.357E+00,4.463E+00,4.709E+00,3.346E-02,1.136E+00,1.117E+00,1.589E-01,2.133E+00
1.000E+00,0.000E+00,0.000E+00,3.384E-02,3.289E-04,0.000E+00,0.000E+00,2.941E+00,1.748E+00,2.046E-03,1.449E+00,1.554E+00,4.935E+00,4.048E-03,1.000E+00,1.000E+00,1.318E-01,2.235E+00,1.447E+00,4.815E-02,1.599E+00,4.062E+00,4.723E+00,3.032E-02,1.122E+00,1.115E+00,1.571E-01,2.155E+00
2.000E+00,0.000E+00,0.000E+00,3.399E-02,3.315E-04,0.000E+00,0.000E+00,2.953E+00,1.742E+00,-6.659E-04,1.452E+00,1.584E+00,4.935E+00,8.097E-03,1.000E+00,1.000E+00,1.322E-01,2.230E+00,1.426E+00,2.260E-02,1.842E+00,3.662E+00,4.737E+00,2.719E-02,1.108E+00,1.112E+00,1.552E-01,2.177E+00
3.000E+00,0.000E+00,0.000E+00,3.414E-02,3.342E-04,0.000E+00,0.000E+00,2.966E+00,1.739E+00,-3.378E-03,1.456E+00,1.613E+00,4.935E+00,1.215E-02,1.000E+00,1.000E+00,1.326E-01,2.224E+00,1.419E+00,-2.950E-03,2.084E+00,3.262E+00,4.751E+00,2.405E-02,1.094E+00,1.110E+00,1.534E-01,2.199E+00
4.000E+00,0.000E+00,0.000E+00,3.421E-02,3.356E-04,0.000E+00,0.000E+00,2.972E+00,1.737E+00,-4.734E-03,1.457E+00,1.628E+00,4.935E+00,1.417E-02,1.000E+00,1.000E+00,1.328E-01,2.222E+00,1.431E+00,-1.573E-02,2.205E+00,3.062E+00,4.758E+00,2.248E-02,1.087E+00,1.108E+00,1.525E-01,2.210E+00
5.000E+00,0.000E+00,0.000E+00,3.429E-02,3.369E-04,0.000E+00,0.000E+00,2.978E+00,1.735E+00,-6.090E-03,1.459E+00,1.643E+00,4.935E+00,1.619E-02,1.000E+00,1.000E+00,1.330E-01,2.219E+00,1.446E+00,-2.850E-02,2.326E+00,2.862E+00,4.766E+00,2.091E-02,1.080E+00,1.107E+00,1.516E-01,2.221E+00
6.000E+00,0.000E+00,0.000E+00,3.443E-02,3.396E-04,0.000E+00,0.000E+00,2.990E+00,1.732E+00,-8.801E-03,1.462E+00,1.672E+00,4.935E+00,2.024E-02,1.000E+00,1.000E+00,1.334E-01,2.214E+00,1.484E+00,-5.405E-02,2.569E+00,2.462E+00,4.780E+00,1.777E-02,1.066E+00,1.105E+00,1.498E-01,2.243E+00
7.000E+00,0.000E+00,0.000E+00,3.458E-02,3.423E-04,0.000E+00,0.000E+00,3.002E+00,1.729E+00,-1.151E-02,1.466E+00,1.702E+00,4.935E+00,2.429E-02,1.000E+00,1.000E+00,1.338E-01,2.209E+00,1.535E+00,-7.961E-02,2.811E+00,2.061E+00,4.795E+00,1.463E-02,1.052E+00,1.102E+00,1.479E-01,2.265E+00
8.000E+00,0.000E+00,0.000E+00,3.473E-02,3.450E-04,0.000E+00,0.000E+00,3.014E+00,1.726E+00,-1.423E-02,1.469E+00,1.731E+00,4.935E+00,2.834E-02,1.000E+00,1.000E+00,1.342E-01,2.204E+00,1.604E+00,-1.052E-01,3.054E+00,1.661E+00,4.809E+00,1.149E-02,1.038E+00,1.099E+00,1.461E-01,2.287E+00
9.000E+00,0.000E+00,0.000E+00,3.480E-02,3.463E-04,0.000E+00,0.000E+00,3.020E+00,1.724E+00,-1.558E-02,1.471E+00,1.746E+00,4.935E+00,3.036E-02,1.000E+00,1.000E+00,1.344E-01,2.201E+00,1.648E+00,-1.179E-01,3.175E+00,1.461E+00,4.817E+00,9.920E-03,1.031E+00,1.098E+00,1.452E-01,2.298E+00
