alpha,H,He,Cr,S,Cr_1,S_1,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.0145341796875,0.0002226562499999,0.0,0.0,1.372672371759188,1.7907355607302646,0.003530528185990197,1.3787466083467481,1.4230784337213447,8.283185307179584,0.0,1.0,1.0,0.05927249950858655,4.086374652703186,1.5336985598817854,-0.029519802830931863,2.497139406990894,1.9947058891461333,8.429461455209626,0.005200111686518755,1.2331096553472707,1.2964859297318225,0.15753259990304036,2.1480077190208413
1.0,0.0,0.0,0.014597167968749998,0.00022106933593739998,0.0,0.0,1.3789586685510953,1.7797639378705694,0.0020381274903769992,1.3756394031655987,1.4774413760436644,8.283185307179584,0.004799922073669097,1.0,1.0,0.05924043893695102,4.087933686615196,1.4926176011220047,-0.017216841198320502,2.400745485103236,2.2827668478489693,8.320734309503663,0.004550097725703911,1.2732630258961306,1.28867796476702,0.1587525988726318,2.1349857592604673
2.0,0.0,0.0,0.014660156249999999,0.0002194824218749,0.0,0.0,1.3852449653430026,1.7692054073756007,0.0005457267947638011,1.3725321979844496,1.531804318365984,8.283185307179584,0.009599844147338193,1.0,1.0,0.059208378365315506,4.089492720527208,1.4581718030700268,-0.004913879565709139,2.3043515632155778,2.5708278065518053,8.215186651338737,0.0039000837648890665,1.3134163964449903,1.2808699998022175,0.15997259784222323,2.1219637995000937
3.0,0.0,0.0,0.01472314453125,0.0002178955078124,0.0,0.0,1.3915312621349099,1.7601234337859135,-0.0009466739008493969,1.3694249928033004,1.5861672606883035,8.283185307179584,0.01439976622100729,1.0,1.0,0.05917631779367999,4.091051754439219,1.436211353352018,0.007389082066902223,2.2079576413279196,2.8588887652546413,8.112666274427104,0.003250069804074222,1.3535697669938502,1.273062034837415,0.16119259681181464,2.10894183973972
4.0,0.0,0.0,0.014754638671874999,0.00021710205078115,0.0,0.0,1.3946744105308635,1.7560353163631506,-0.001692874248655996,1.3678713902127257,1.6133487318494635,8.283185307179584,0.01679972725784184,1.0,1.0,0.05916028750786223,4.0918312713952245,1.429427710859563,0.013540562883207905,2.1597606803840907,3.0029192446060593,8.06249648787233,0.0029250628236667997,1.37364645226828,1.2691580523550139,0.16180259629661037,2.1024308598595334
5.0,0.0,0.0,0.014786132812499998,0.0002163085937499,0.0,0.0,1.3978175589268171,1.7520365393908839,-0.002439074596462595,1.366317787622151,1.6405302030106232,8.283185307179584,0.019199688294676387,1.0,1.0,0.05914425722204447,4.09261078835123,1.4237684893281353,0.019692043699513585,2.1115637194402614,3.1469497239574773,8.013030895276994,0.0026000558432593777,1.3937231375427102,1.2652540698726127,0.16241259578140607,2.0959198799793466
6.0,0.0,0.0,0.014849121093749999,0.00021472167968740002,0.0,0.0,1.4041038557187244,1.7442965917395759,-0.003931475292075793,1.363210582441002,1.694893145332943,8.283185307179584,0.023999610368345484,1.0,1.0,0.059112196650408955,4.094169822263241,1.4155158489430515,0.031995005332124946,2.0151697975526033,3.4350106826603133,7.916147345868045,0.0019500418824445333,1.4338765080915699,1.2574461049078103,0.1636325947509975,2.082897920218973
7.0,0.0,0.0,0.014912109375,0.0002131347656249,0.0,0.0,1.4103901525106317,1.7368838147534962,-0.005423875987688991,1.3601033772598528,1.7492560876552625,8.283185307179584,0.02879953244201458,1.0,1.0,0.05908013607877344,4.095728856175252,1.410916393354261,0.04429796696473631,1.9187758756649451,3.7230716413631493,7.821890844316613,0.0013000279216296888,1.4740298786404298,1.2496381399430079,0.1648525937205889,2.0698759604585995
8.0,0.0,0.0,0.014975097656249999,0.0002115478515624,0.0,0.0,1.416676449302539,1.7297799662571696,-0.006916276683302189,1.3569961720787034,1.803619029977582,8.283185307179584,0.03359945451568368,1.0,1.0,0.05904807550713792,4.097287890087262,1.4095274540781166,0.05660092859734767,1.822381953777287,4.011132600065985,7.730144335346104,0.0006500139608148444,1.5141832491892897,1.2418301749782055,0.16607259269018035,2.056854000698226
9.0,0.0,0.0,0.015006591796875,0.00021075439453115,0.0,0.0,1.4198195976984929,1.7263385664583701,-0.007662477031108788,1.3554425694881287,1.830800501138742,8.283185307179584,0.035999415552518226,1.0,1.0,0.05903204522132016,4.098067407043268,1.409916214612156,0.06275240941365336,1.774184992833458,4.155163079417403,7.685177712525379,0.0003250069804074222,1.5342599344637196,1.237926192495804,0.16668259217497605,2.050343020818039
10.0,0.0,0.0,0.0150380859375,0.0002099609374999,0.0,0.0,1.4229627460944465,1.7229681685005884,-0.008408677378915387,1.3538889668975542,1.8579819722999018,8.283185307179584,0.038399376589352774,1.0,1.0,0.059016014935502396,4.0988469239992735,1.4109684465503238,0.06890389022995903,1.725988031889629,4.299193558768821,7.640797891605233,0.0,1.5543366197381494,1.2340222100134028,0.16729259165977178,2.0438320409378523
11.0,0.0,0.0,0.015214721679687487,0.0002170410156249125,0.0,0.0,1.4403421381010366,1.7269314642268854,-0.022638589747099955,1.4300907117018014,1.8227408919572676,8.283185307179584,0.04394755767204593,1.0,1.0,0.05896722115828934,4.101240074571837,1.4201606702093212,0.06296617260143653,1.710751194441554,4.17671750887089,7.707358954999337,0.006681408994647636,1.524472709256371,1.23998080877542,0.16636810551964776,2.0535728198553613
12.0,0.0,0.0,0.015391357421874974,0.000224121093749925,0.0,0.0,1.4577215301076265,1.7315987382040474,-0.03686850211528452,1.5062924565060487,1.7874998116146332,8.283185307179584,0.04949573875473908,1.0,1.0,0.05891842738107629,4.103633225144401,1.4296647395378594,0.057028454972914006,1.6955143569934794,4.0542414589729585,7.775238577081587,0.013362817989295271,1.4946087987745926,1.245939407537437,0.16544361937952373,2.06331359877287
13.0,0.0,0.0,0.015567993164062462,0.0002312011718749375,0.0,0.0,1.4751009221142164,1.7369585054259766,-0.05109841448346909,1.5824942013102958,1.7522587312719988,8.283185307179584,0.05504391983743223,1.0,1.0,0.05886963360386324,4.106026375716965,1.4395028558075686,0.0510907373443915,1.6802775195454045,3.9317654090750267,7.844481086026653,0.020044226983942908,1.4647448882928142,1.251898006299454,0.1645191332393997,2.0730543776903785
14.0,0.0,0.0,0.015656311035156207,0.00023474121093744376,0.0,0.0,1.4837906181175113,1.739893554449615,-0.058213370667561375,1.6205950737124195,1.7346381911006818,8.283185307179584,0.05781801037877881,1.0,1.0,0.05884523671525672,4.107222951003246,1.4445547038818483,0.04812187853013024,1.6726591008213672,3.870527384126061,7.879627846786741,0.023384931481266726,1.4498129330519252,1.2548773056804625,0.1640568901693377,2.077924767149133
15.0,0.0,0.0,0.01574462890624995,0.00023828124999995,0.0,0.0,1.4924803141208063,1.7429959509942294,-0.06532832685165366,1.658695946114543,1.7170176509293646,8.283185307179584,0.06059210092012539,1.0,1.0,0.05882083982665019,4.108419526289528,1.449699385584454,0.045153019715868985,1.6650406820973296,3.8092893591770953,7.91513291116125,0.026725635978590543,1.4348809778110359,1.257856605061471,0.16359464709927568,2.0827951566078875
16.0,0.0,0.0,0.01592126464843744,0.0002453613281249625,0.0,0.0,1.5098597061273962,1.74969400416323,-0.07955823921983823,1.7348976909187903,1.6817765705867305,8.283185307179584,0.06614028200281855,1.0,1.0,0.05877204604943714,4.110812676862091,1.4602811522464125,0.03921530208734647,1.6498038446492547,3.686813309279164,7.9872427108155195,0.03340704497323818,1.4050170673292575,1.263815203823488,0.16267016095915166,2.0925359355253965
17.0,0.0,0.0,0.016097900390624927,0.000252441406249975,0.0,0.0,1.527239098133986,1.757035007832346,-0.0937881515880228,1.8110994357230374,1.646535490244096,8.283185307179584,0.07168846308551169,1.0,1.0,0.058723252272224094,4.113205827434655,1.4712777814892593,0.033277584458823964,1.6345670072011798,3.564337259381232,8.060861510802996,0.040088453967885816,1.375153156847479,1.2697738025855052,0.16174567481902763,2.1022767144429055
