alpha,H,He,Mg,S,Mg_1,S_1,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.0480791015625,0.000537109375,0.0,0.0,2.7140509968718103,1.7904002678180886,0.0013112985104769697,1.3549081426509877,1.4496861080390815,8.283185307179584,0.0,1.0,1.0,0.3448159338097132,1.1380433657755529,1.6373356058595387,-0.15465173679309033,3.884193913763125,1.405487998613557,8.176932922256698,0.012429543810765697,1.0425904055601174,1.0,0.1357725020764665,2.4263380618262413
1.0,0.0,0.0,0.04834802246093749,0.0005338134765625,0.0,0.0,2.728947614040381,1.7890940714736283,-0.006927800141410727,1.37787710194327,1.4678683018693612,8.283185307179584,0.007997993980872397,1.0,1.0,0.3443049047242466,1.1395554985436038,1.599580795894517,-0.13305276047598846,3.639805139604862,1.5632964010971018,8.181341657058272,0.012261881305654986,1.040791379086718,1.0,0.13562729247788252,2.428466831177983
2.0,0.0,0.0,0.04861694335937497,0.000530517578125,0.0,0.0,2.7438442312089517,1.7892809058352022,-0.015166898793298425,1.4008460612355527,1.4860504956996408,8.283185307179584,0.015995987961744795,1.0,1.0,0.34379387563878,1.1410676313116546,1.5675029232632909,-0.11145378415888663,3.395416365446599,1.7211048035806464,8.185757266323298,0.012094218800544274,1.038992352613319,1.0,0.13548208287929853,2.430595600529725
3.0,0.0,0.0,0.04888586425781246,0.0005272216796875,0.0,0.0,2.7587408483775224,1.7894374610548407,-0.023405997445186122,1.423815020527835,1.5042326895299203,8.283185307179584,0.02399398194261719,1.0,1.0,0.3432828465533134,1.1425797640797053,1.5406112988275331,-0.08985480784178479,3.1510275912883365,1.878913206064191,8.190179767425787,0.011926556295433561,1.0371933261399195,1.0,0.13533687328071453,2.4327243698814667
4.0,0.0,0.0,0.0490203247070312,0.00052557373046875,0.0,0.0,2.766189156961808,1.789503476949796,-0.02752554677112997,1.4352995001739761,1.5133237864450602,8.283185307179584,0.02799297893305339,1.0,1.0,0.3430273320105801,1.1433358304637307,1.5290080533999861,-0.07905531968323387,3.0288332042092048,1.9578174073059635,8.192393607861908,0.011842725042878206,1.03629381290322,1.0,0.13526426848142253,2.4337887545573373
5.0,0.0,0.0,0.04915478515624995,0.00052392578125,0.0,0.0,2.7736374655460936,1.7895612022010008,-0.03164509609707382,1.4467839798201174,1.5224148833602,8.283185307179584,0.03199197592348959,1.0,1.0,0.3427718174678468,1.144091896847756,1.5185997028550688,-0.06825583152468294,2.9066388171300734,2.0367216085477358,8.194609177799931,0.01175889379032285,1.0353942996665202,1.0,0.13519166368213056,2.4348531392332085
6.0,0.0,0.0,0.04942370605468744,0.0005206298828125,0.0,0.0,2.7885340827146647,1.7896519193877187,-0.039884194748961516,1.4697529391123998,1.5405970771904798,8.283185307179584,0.03998996990436199,1.0,1.0,0.34226078838238017,1.1456040296158068,1.5013275870619487,-0.04665685520758109,2.6622500429718103,2.19453001103128,8.19904551494037,0.011591231285212139,1.0335952731931208,1.0,0.1350464540835466,2.4369819085849502
7.0,0.0,0.0,0.04969262695312493,0.0005173339843749999,0.0,0.0,2.8034306998832355,1.7897102712469954,-0.04812329340084921,1.4927218984046822,1.5587792710207595,8.283185307179584,0.04798796388523438,1.0,1.0,0.34174975929691354,1.1471161623838575,1.488817214452482,-0.025057878890479245,2.4178612688135477,2.3523384135148246,8.203488796402445,0.011423568780101426,1.0317962467197215,1.0,0.1349012444849626,2.439110677936692
8.0,0.0,0.0,0.04996154785156241,0.0005140380859375,0.0,0.0,2.818327317051806,1.789737229327658,-0.05636239205273691,1.5156908576969648,1.5769614648510393,8.283185307179584,0.05598595786610678,1.0,1.0,0.3412387302114469,1.1486282951519082,1.481269826218234,-0.0034589025733773957,2.173472494655285,2.510146815998369,8.207939039802481,0.011255906274990714,1.0299972202463221,1.0,0.1347560348863786,2.4412394472884342
9.0,0.0,0.0,0.05009600830078116,0.00051239013671875,0.0,0.0,2.8257756256360915,1.7897392610610994,-0.06048194137868076,1.527175337343106,1.586052561766179,8.283185307179584,0.05998495485654298,1.0,1.0,0.3409832156687136,1.1493843615359336,1.4867492585902662,0.007340585585173529,2.0512781075761537,2.5890510172401413,8.210166777751072,0.01117207502243536,1.0290977070096226,1.0,0.1346834300870866,2.4423038319643053
