alpha,H,He,Ca,S,Ca_1,S_1,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.018896484375,0.0005625,0.0,0.0,1.3631691829521606,1.8751331152215076,0.0038364502663419133,1.202443071166662,1.2448568078422415,8.283185307179584,0.0,1.0,1.0,0.14235780811906443,2.2425840066858296,1.6448310322485153,-0.09856330258425088,2.660477663930717,1.6339033575216422,8.283185307179584,0.020698414483649775,1.0,1.0,0.10415630475739834,3.0029743532449635
1.0,0.0,0.0,0.0189937744140625,0.0005667724609374999,0.0,0.0,1.369741487583164,1.87113310374834,-0.007373894389929993,1.2429430727896884,1.2543702079992007,8.283185307179584,0.007432645698265647,1.0,1.0,0.14251611621969984,2.240598944655445,1.6465374851224408,-0.0896430769986972,2.5598172509662103,1.6407823921312032,8.283185307179584,0.023611004905346997,1.0,1.0,0.10442965484098242,2.996825026616011
2.0,0.0,0.0,0.019091064453125,0.0005710449218749999,0.0,0.0,1.3763137922141673,1.871725737215824,-0.0185842390462019,1.2834430744127148,1.2638836081561597,8.283185307179584,0.014865291396531293,1.0,1.0,0.14267442432033528,2.2386138826250597,1.6487083562413853,-0.08072285141314353,2.4591568380017033,1.6476614267407643,8.283185307179584,0.026523595327044222,1.0,1.0,0.1047030049245665,2.990675699987059
3.0,0.0,0.0,0.0191883544921875,0.0005753173828124999,0.0,0.0,1.3828860968451706,1.8723073587513088,-0.029794583702473804,1.3239430760357411,1.2733970083131188,8.283185307179584,0.022297937094796938,1.0,1.0,0.14283273242097072,2.2366288205946745,1.6513811703066377,-0.07180262582758987,2.3584964250371963,1.6545404613503254,8.283185307179584,0.029436185748741444,1.0,1.0,0.10497635500815058,2.9845263733581064
4.0,0.0,0.0,0.01923699951171875,0.0005774536132812499,0.0,0.0,1.3861722491606723,1.8725980616399378,-0.035399756030609755,1.3441930768472543,1.2781537083915984,8.283185307179584,0.026014259943929762,1.0,1.0,0.14291188647128844,2.235636289579482,1.6529187011101285,-0.06734251303481303,2.308166218554943,1.657979978655106,8.283185307179584,0.030892480959590053,1.0,1.0,0.10511303004994263,2.98145171004363
5.0,0.0,0.0,0.01928564453125,0.0005795898437499999,0.0,0.0,1.3894584014761737,1.8728905653873105,-0.04100492835874571,1.3644430776587675,1.282910408470078,8.283185307179584,0.029730582793062586,1.0,1.0,0.14299104052160616,2.2346437585642898,1.6545977855919065,-0.0628824002420362,2.2578360120726897,1.6614194959598865,8.283185307179584,0.032348776170438666,1.0,1.0,0.10524970509173466,2.978377046729154
6.0,0.0,0.0,0.0193829345703125,0.0005838623046874999,0.0,0.0,1.3960307061071768,1.8734853596967156,-0.05221527301501761,1.4049430792817938,1.292423808627037,8.283185307179584,0.037163228491328235,1.0,1.0,0.1431493486222416,2.232658696533905,1.658405011226368,-0.05396217465648254,2.157175599108183,1.6682985305694475,8.283185307179584,0.035261366592135884,1.0,1.0,0.10552305517531874,2.9722277201002014
7.0,0.0,0.0,0.019480224609375,0.000588134765625,0.0,0.0,1.4026030107381802,1.8740986321483264,-0.06342561767128951,1.4454430809048202,1.301937208783996,8.283185307179584,0.044595874189593876,1.0,1.0,0.143307656722877,2.23067363450352,1.6628553184037917,-0.045041949070928865,2.056515186143676,1.6751775651790086,8.283185307179584,0.03817395701383311,1.0,1.0,0.10579640525890283,2.966078393471249
8.0,0.0,0.0,0.0195775146484375,0.0005924072265625,0.0,0.0,1.4091753153691835,1.874734693304993,-0.07463596232756142,1.4859430825278466,1.3114506089409552,8.283185307179584,0.052028519887859524,1.0,1.0,0.14346596482351243,2.2286885724731347,1.668007657529646,-0.0361217234853752,1.9558547731791696,1.6820565997885697,8.283185307179584,0.041086547435530335,1.0,1.0,0.1060697553424869,2.959929066842297
9.0,0.0,0.0,0.019626159667968747,0.00059454345703125,0.0,0.0,1.4124614676846852,1.8750620551939456,-0.08024113465569738,1.5061930833393598,1.3162073090194348,8.283185307179584,0.055744842736992345,1.0,1.0,0.14354511887383015,2.2276960414579423,1.670867511163752,-0.03166161069259837,1.9055245666969163,1.6854961170933502,8.283185307179584,0.04254284264637895,1.0,1.0,0.10620643038427893,2.956854403527821
10.0,0.0,0.0,0.0196748046875,0.0005966796875,0.0,0.0,1.4157476200001868,1.8753958506646495,-0.08584630698383333,1.526443084150873,1.3209640090979142,8.283185307179584,0.05946116558612517,1.0,1.0,0.14362427292414787,2.22670351044275,1.6739283989725517,-0.02720149789982153,1.8551943602146628,1.6889356343981305,8.283185307179584,0.04399913785722756,1.0,1.0,0.10634310542607098,2.9537797402133443
11.0,0.0,0.0,0.020046264648437485,0.000612548828125,0.0,0.0,1.442453079861469,1.8758982783845712,-0.09574437435256421,1.5576569570323961,1.3334425834518249,8.283185307179584,0.06738918117480829,1.0,1.0,0.14306542648936388,2.2338482830711883,1.664345706274362,-0.037345435983337186,1.9011694802372787,1.7568355512736868,8.283185307179584,0.04897220183827741,1.0,1.0,0.10597650377103403,2.9620772145408703
12.0,0.0,0.0,0.020417724609374972,0.00062841796875,0.0,0.0,1.4691585397227511,1.8763795465046063,-0.10564244172129508,1.5888708299139191,1.3459211578057353,8.283185307179584,0.0753171967634914,1.0,1.0,0.1425065800545799,2.2409930556996267,1.6551959808508454,-0.04748937406685284,1.9471446002598944,1.824735468149243,8.283185307179584,0.053945265819327265,1.0,1.0,0.10560990211599708,2.9703746888683957
13.0,0.0,0.0,0.02078918457031246,0.000644287109375,0.0,0.0,1.4958639995840333,1.8768404445177875,-0.11554050909002596,1.6200847027954421,1.3583997321596457,8.283185307179584,0.08324521235217451,1.0,1.0,0.1419477336197959,2.248137828328065,1.6464490710639303,-0.05763331215036849,1.9931197202825102,1.8926353850247992,8.283185307179584,0.05891832980037712,1.0,1.0,0.10524330046096012,2.978672163195921
