alpha,H,He,Fe,S,Fe_1,S_1,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.02130859375,0.000275390625,0.0,0.0,1.8747961577426364,1.7611231363701556,0.010033835722660487,1.371218075054733,1.5748067915803443,8.283185307179584,0.0030698568209964537,1.0,1.0,0.07571141053322121,3.3656824827793024,1.6516978776078557,-0.05625443531886848,2.361294686184849,1.5736670254670566,8.58845399034068,0.025053593096867017,1.2512222637875656,1.3783333825138777,0.16584076716078905,2.05865033345922
1.0,0.0,0.0,0.021398071289062487,0.00027551269531249996,0.0,0.0,1.8817953219743058,1.7541698634281606,0.005319298917839357,1.3925668907513997,1.5851162832433148,8.283185307179584,0.006606188317010258,1.0,1.0,0.07569657244566147,3.366158026700626,1.622405093495995,-0.05383891859458813,2.379287751386606,1.6989951597087787,8.527483397417768,0.026139681460750283,1.2428516938088774,1.345814276159893,0.16613032030704517,2.055708236547207
2.0,0.0,0.0,0.021487548828124974,0.000275634765625,0.0,0.0,1.8887944862059753,1.7472979370363453,0.0006047621130182259,1.4139157064480665,1.5954257749062855,8.283185307179584,0.010142519813024062,1.0,1.0,0.07568173435810172,3.3666335706219503,1.5950936405795324,-0.05142340187030777,2.3972808165883626,1.8243232939505005,8.467144611082828,0.027225769824633553,1.2344811238301892,1.3132951698059085,0.1664198734533013,2.052766139635194
3.0,0.0,0.0,0.02157702636718746,0.0002757568359375,0.0,0.0,1.8957936504376447,1.7451626520522918,-0.004109774691802905,1.4352645221447333,1.6057352665692561,8.283185307179584,0.013678851309037867,1.0,1.0,0.07566689627054196,3.3671091145432746,1.5695294631155012,-0.04900788514602741,2.4152738817901196,1.9496514281922226,8.407431384232742,0.02831185818851682,1.226110553851501,1.2807760634519239,0.16670942659955745,2.0498240427231815
4.0,0.0,0.0,0.021621765136718707,0.00027581787109375,0.0,0.0,1.8992932325534793,1.744450766055955,-0.00646704309421347,1.445938929993067,1.6108900124007415,8.283185307179584,0.015447017057044769,1.0,1.0,0.07565947722676208,3.3673468865039364,1.5573397754175322,-0.04780012678388724,2.424270414390998,2.0123154953130835,8.377807423477885,0.02885490237045845,1.2219252688621567,1.2645165102749316,0.1668542031726855,2.048352994267175
5.0,0.0,0.0,0.02166650390624995,0.00027587890625,0.0,0.0,1.902792814669314,1.7437461514440848,-0.008824311496624035,1.4566133378414003,1.6160447582322268,8.283185307179584,0.01721518280505167,1.0,1.0,0.07565205818298221,3.3675846584645983,1.545515473134469,-0.04659236842174706,2.4332669469918766,2.0749795624339447,8.348337543136772,0.029397946552400085,1.2177399838728127,1.2482569570979392,0.16699897974581357,2.046881945811169
6.0,0.0,0.0,0.02175598144531244,0.00027600097656249996,0.0,0.0,1.9097919789009836,1.7423575617204636,-0.013538848301445165,1.4779621535380674,1.6263542498951975,8.283185307179584,0.020751514301065477,1.0,1.0,0.07563722009542245,3.368060202385922,1.5228844282387177,-0.04417685169746671,2.4512600121936337,2.200307696675667,8.289856986695769,0.03048403491628335,1.2093694138941244,1.2157378507439545,0.16728853289206969,2.0439398488991563
7.0,0.0,0.0,0.021845458984374927,0.00027612304687499995,0.0,0.0,1.916791143132653,1.7409952987668742,-0.018253385106266295,1.4993109692347342,1.6366637415581682,8.283185307179584,0.02428784579707928,1.0,1.0,0.0756223820078627,3.3685357463072463,1.5014934048693447,-0.04176133497318636,2.4692530773953907,2.325635830917389,8.231983685711745,0.03157012328016662,1.2009988439154362,1.1832187443899698,0.1675780860383258,2.0409977519871436
8.0,0.0,0.0,0.021934936523437414,0.0002762451171875,0.0,0.0,1.9237903073643223,1.7396584643300064,-0.022967921911087423,1.520659784931401,1.6469732332211389,8.283185307179584,0.027824177293093083,1.0,1.0,0.07560754392030294,3.3690112902285705,1.4812194636622789,-0.03934581824890601,2.4872461425971477,2.4509639651591106,8.17471168216777,0.03265621164404989,1.192628273936748,1.1506996380359853,0.16786763918458192,2.038055655075131
9.0,0.0,0.0,0.021979675292968657,0.00027630615234374995,0.0,0.0,1.9272898894801571,1.738999390986479,-0.02532519031349799,1.5313341927797344,1.652127979052624,8.283185307179584,0.029592343041099985,1.0,1.0,0.07560012487652307,3.3692490621892324,1.471467584983059,-0.03813805988676583,2.496242675198026,2.513628032279972,8.146299324344174,0.03319925582599152,1.1884429889474037,1.1344400848589928,0.16801241575770998,2.036584606619124
10.0,0.0,0.0,0.0220244140624999,0.0002763671875,0.0,0.0,1.930789471595992,1.7383464668182818,-0.027682458715908555,1.5420086006280678,1.6572827248841093,8.283185307179584,0.031360508789106886,1.0,1.0,0.07559270583274319,3.3694868341498942,1.4619562162916422,-0.036930301524625654,2.5052392077989047,2.576292099400833,8.118035088518079,0.03374230000793315,1.1842577039580597,1.1181805316820006,0.16815719233083806,2.035113558163118
