alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
0.0,0.0,0.0,0.00965234375,0.0001865234375,0.0,0.0,0.7705179480425285,1.392127568413216,0.020227250185876747,2.1761780467135554,3.4201443392004354,8.082493805743551,0.0,1.1771989380284726,1.0958892153135695,0.1314550154988785,2.4909378918439438,1.8280836310845738,-0.02578513951713046,1.4979872701867663,1.276406439497043,8.283185307179584,0.004778735457588938,1.0,1.0,0.04843073894022082,4.817795643776014
1.0,0.0,0.0,0.009698974609375001,0.00018933105468750002,0.0,0.0,0.7739942243634677,1.4091027728090515,0.027569190043030038,2.0826085333086883,3.382426215239221,8.103329859447102,0.0,1.176174382655915,1.1039316881507002,0.13297574718829233,2.469263742012305,1.8175939679357058,-0.025960080020946928,1.4810010765141692,1.3352048199418023,8.283185307179584,0.009799809077469064,1.0,1.0,0.04845759528027415,4.815956721896993
2.0,0.0,0.0,0.00974560546875,0.000192138671875,0.0,0.0,0.7774705006844069,1.4268901669183731,0.03491112990018333,1.9890390199038213,3.3447080912780063,8.124227928696488,0.0,1.1751498272833572,1.1119741609878306,0.13449647887770616,2.4475895921806665,1.8077579332858487,-0.026135020524763394,1.4640148828415724,1.3940032003865617,8.283185307179584,0.01482088269734919,1.0,1.0,0.04848445162032748,4.814117800017971
3.0,0.0,0.0,0.009792236328124999,0.0001949462890625,0.0,0.0,0.7809467770053462,1.4455325336530127,0.042253069757336614,1.8954695064989542,3.3069899673167917,8.145188212093279,0.0,1.1741252719107995,1.120016633824961,0.13601721056712002,2.425915442349028,1.798534639775805,-0.026309961028579864,1.4470286891689756,1.452801580831321,8.283185307179584,0.019841956317229313,1.0,1.0,0.04851130796038081,4.81227887813895
4.0,0.0,0.0,0.009815551757812499,0.00019635009765625,0.0,0.0,0.7826849151658158,1.4551865687022327,0.04592403968591326,1.8486847497965206,3.2881309053361845,8.155691746343187,0.0,1.1736129942245208,1.1240378702435263,0.13677757641182692,2.4150783674332086,1.7941410510310423,-0.026397431280488097,1.4385355923326772,1.4822007710537006,8.283185307179584,0.022352493127169377,1.0,1.0,0.048524736130407475,4.811359417199439
5.0,0.0,0.0,0.0098388671875,0.00019775390625,0.0,0.0,0.7844230533262855,1.4650683821779678,0.049595009614489906,1.801899993094087,3.269271843355577,8.166210908909434,0.0,1.1731007165382419,1.1280591066620915,0.13753794225653385,2.4042412925173893,1.7898870225714045,-0.026484901532396334,1.4300424954963789,1.5115999612760804,8.283185307179584,0.02486302993710944,1.0,1.0,0.048538164300434145,4.810439956259929
6.0,0.0,0.0,0.009885498046875,0.0002005615234375,0.0,0.0,0.7878993296472248,1.485530659808294,0.0569369494716432,1.70833047968922,3.2315537193943626,8.187296219089658,0.0,1.1720761611656842,1.136101579499222,0.13905867394594768,2.3825671426857506,1.781781409913055,-0.026659842036212803,1.413056301823782,1.5703983417208398,8.283185307179584,0.029884103556989568,1.0,1.0,0.048565020640487476,4.808601034380907
7.0,0.0,0.0,0.00993212890625,0.000203369140625,0.0,0.0,0.791375605968164,1.5069455747708842,0.06427888932879648,1.614760966284353,3.193835595433148,8.208444343253806,0.0,1.1710516057931266,1.1441440523363526,0.14057940563536153,2.360892992854112,1.7741871511213372,-0.026834782540029273,1.3960701081511853,1.6291967221655992,8.283185307179584,0.034905177176869695,1.0,1.0,0.04859187698054081,4.806762112501886
8.0,0.0,0.0,0.009978759765625001,0.0002061767578125,0.0,0.0,0.7948518822891033,1.529331563085167,0.07162082918594978,1.5211914528794859,3.1561174714719336,8.229655482699258,0.0,1.1700270504205688,1.1521865251734833,0.14210013732477536,2.3392188430224734,1.7670762930784996,-0.027009723043845742,1.3790839144785885,1.6879951026103583,8.283185307179584,0.039926250796749815,1.0,1.0,0.04861873332059414,4.804923190622864
9.0,0.0,0.0,0.010002075195312501,0.00020758056640625,0.0,0.0,0.7965900204495728,1.5408921295184315,0.07529179911452642,1.4744066961770521,3.1372584094913263,8.240284746243754,0.0,1.1695147727342898,1.1562077615920485,0.1428605031694823,2.328381768106654,1.763694071424103,-0.027097193295753975,1.3705908176422898,1.7173942928327381,8.283185307179584,0.04243678760668988,1.0,1.0,0.0486321614906208,4.8040037296833535
10.0,0.0,0.0,0.010025390625,0.000208984375,0.0,0.0,0.7983281586100425,1.5526984251441607,0.07896276904310306,1.4276219394746186,3.1183993475107186,8.250929839403327,0.0,1.1690024950480111,1.1602289980106137,0.1436208690141892,2.317544693190835,1.760423298076947,-0.027184663547662212,1.3620977208059915,1.7467934830551177,8.283185307179584,0.04494732441662994,1.0,1.0,0.04864558966064747,4.803084268743842
11.0,0.0,0.0,0.0101724853515625,0.00021325683593749999,0.0,0.0,0.8104565210277919,1.5372874012403903,0.06195506130711934,1.5281667826661884,3.041151496601759,8.261883787659967,0.005584998318701171,1.1576623836744684,1.1537421764115399,0.14346956634480235,2.3195574180686362,1.7655088421704108,-0.04133031347567445,1.4273452592827245,1.7194929520811044,8.283185307179584,0.05135564394341893,1.0,1.0,0.04856084012714804,4.8089304809659215
12.0,0.0,0.0,0.010319580078125001,0.000217529296875,0.0,0.0,0.8225848834455414,1.522967670640495,0.04494735357113562,1.628711625857758,2.963903645692799,8.273016552316992,0.011169996637402342,1.1463222723009254,1.147255354812466,0.1433182636754155,2.321570142946438,1.7710536886464616,-0.055475963403686684,1.4925927977594577,1.692192421107091,8.283185307179584,0.05776396347020793,1.0,1.0,0.048476090593648616,4.814776693188001
13.0,0.0,0.0,0.010466674804687501,0.0002218017578125,0.0,0.0,0.8347132458632908,1.5100115290408171,0.027939645835151898,1.729256469049328,2.886655794783839,8.284330697541897,0.016754994956103515,1.1349821609273825,1.140768533213392,0.14316696100602866,2.32358286782424,1.777057048543416,-0.06962161333169892,1.557840336236191,1.6648918901330776,8.283185307179584,0.06417228299699693,1.0,1.0,0.04839134106014919,4.82062290541008
14.0,0.0,0.0,0.010540222167968752,0.00022393798828124998,0.0,0.0,0.8407774270721655,1.5041140111854445,0.01943579196716004,1.7795288906451128,2.848031869329359,8.290056604017844,0.0195474941154541,1.129312105240611,1.1375251224138552,0.14309130967133524,2.324589230263141,1.780228962481802,-0.07669443829570505,1.5904641054745576,1.651241624646071,8.283185307179584,0.06737644276039143,1.0,1.0,0.04834896629339948,4.82354601152112
