mineral,Na2O,MgO,Al2O3,SiO2,TiO2,K2O,CaO,FeO,Cr2O3,FeS,MgS,CaS,MnS,CrS,TiS,S2
Or,0,0,0.5,3,0,0.5,0,0,0,0,0,0,0,0,0,0
Ab,0.5,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0
An,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Nph,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0
Wo,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Di,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
En,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fs,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Fo,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fa,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Sp,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ilm,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Qz,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nng,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Abd,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bzn,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.5
Was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Old,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dbr,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
